# 起风了
# Converted from SkyStudio format
# BPM: 236
# Total chords: 260

Time,Keys,Duration
0.00,j,0.25
0.25,k,0.25
0.51,l,0.25
0.76,;,0.51
1.27,i,0.25
1.52,m,0.25
1.78,;,0.76
2.54,j,0.25
2.79,k,0.25
3.05,l,0.25
3.30,;,0.51
3.81,u,0.25
4.06,m,0.25
4.32,;,0.25
4.57,l,0.25
4.83,;,0.25
5.08,k,0.25
5.33,l,0.25
5.59,j,0.25
5.84,k,0.25
6.10,p,0.76
6.86,j,0.25
7.11,k,0.25
7.37,l,0.25
7.62,;,0.51
8.13,i,0.25
8.38,m,0.25
8.64,;,0.76
9.40,j,0.25
9.65,k,0.25
9.91,l,0.25
10.16,;,0.51
10.67,u,0.25
10.92,m,0.25
11.18,;,0.25
11.43,l,0.25
11.68,k,0.25
11.94,l,0.25
12.19,j,0.25
12.45,k,0.25
12.70,p,0.76
13.46,j,0.25
13.72,k,0.25
13.97,l,0.25
14.22,;,0.51
14.73,i,0.25
14.99,m,0.25
15.24,;,0.76
16.00,j,0.25
16.26,k,0.25
16.51,l,0.25
16.76,;,0.51
17.27,u,0.25
17.53,m,0.25
17.78,;,0.25
18.03,l,0.25
18.29,;,0.25
18.54,k,0.25
18.80,l,0.25
19.05,j,0.25
19.30,k,0.25
19.56,p,0.76
20.32,j,0.25
20.57,k,0.25
20.83,l,0.25
21.08,;,0.51
21.59,i,0.25
21.84,m,0.25
22.10,;,0.51
22.61,l,0.51
23.11,k,1.27
24.38,l,0.25
24.64,k,0.25
24.89,l,0.25
25.15,k,0.25
25.40,l,0.25
25.65,;,0.25
25.91,m,0.25
26.16,;,0.51
26.67,l,0.25
26.92,k,0.25
27.18,l,0.25
27.43,k,0.25
27.69,l,0.25
27.94,;,0.25
28.19,l,0.25
28.45,k,0.25
28.70,p,0.51
29.21,l,0.25
29.46,k,0.25
29.72,l,0.25
29.97,k,0.25
30.23,l,0.25
30.48,;,0.25
30.73,m,0.25
30.99,;,0.51
31.50,l,0.25
31.75,;,0.25
32.00,l,0.25
32.26,k,0.25
32.51,l,0.76
33.27,l,0.25
33.53,k,0.25
33.78,l,0.25
34.04,k,0.25
34.29,l,0.25
34.54,;,0.25
34.80,m,0.25
35.05,;,0.51
35.56,l,0.25
35.81,;,0.25
36.07,l,0.25
36.32,k,0.25
36.58,h,0.76
37.34,;,0.25
37.59,l,0.25
37.85,k,0.25
38.10,l,0.25
38.35,k,0.51
38.86,;,0.25
39.12,l,0.25
39.37,k,0.25
39.62,l,0.25
39.88,k,0.51
40.39,p,0.25
40.64,;,0.25
40.89,l,0.25
41.15,k,0.25
41.40,l,0.25
41.66,k,1.27
42.93,y,0.25
43.18,u,0.25
43.43,i,0.25
43.69,y,0.25
43.94,h,0.25
44.20,p,0.25
44.45,h,0.51
44.96,y,0.25
45.21,j,0.25
45.47,h,0.25
45.72,j,0.76
46.48,j,0.25
46.74,h,0.25
46.99,j,0.25
47.24,i,0.25
47.50,k,0.25
47.75,l,0.25
48.01,k,0.25
48.26,j,0.25
48.51,h,0.76
49.28,p,0.25
49.53,h,0.25
49.78,p,0.25
50.04,h,0.25
50.29,p,0.25
50.55,h,0.25
50.80,p,0.25
51.05,h,0.25
51.31,p,0.25
51.56,u,0.25
51.82,p,0.25
52.07,i,0.76
52.83,y,0.25
53.09,u,0.25
53.34,i,0.25
53.59,y,0.25
53.85,h,0.25
54.10,p,0.25
54.36,h,0.51
54.86,y,0.25
55.12,j,0.25
55.37,h,0.25
55.63,j,0.76
56.39,j,0.25
56.64,h,0.25
56.90,j,0.25
57.15,i,0.25
57.40,k,0.25
57.66,l,0.25
57.91,k,0.25
58.17,j,0.25
58.42,h,0.76
59.18,p,0.25
59.44,h,0.25
59.69,;,0.25
59.94,;,0.25
60.20,p,0.25
60.45,h,0.25
60.71,;,0.25
60.96,;,0.25
61.21,p,0.25
61.47,h,1.52
62.99,k,0.25
63.25,l,0.25
63.50,;,0.25
63.75,,,0.25
64.01,m,0.25
64.26,,,0.25
64.52,m,0.25
64.77,,,0.25
65.02,m,0.25
65.28,l,0.76
66.04,;,0.25
66.29,,,0.25
66.55,m,0.25
66.80,,,0.25
67.06,m,0.25
67.31,,,0.25
67.56,m,0.25
67.82,;,0.76
68.58,l,0.25
68.83,k,0.25
69.09,h,0.25
69.34,k,0.25
69.60,k,0.25
69.85,l,0.25
70.10,h,0.25
70.36,k,0.25
70.61,;,0.25
70.87,n,0.25
71.12,;,0.25
71.37,l,0.76
72.14,k,0.25
72.39,l,0.25
72.64,;,0.25
72.90,,,0.25
73.15,m,0.25
73.41,,,0.25
73.66,m,0.25
73.91,,,0.25
74.17,m,0.76
74.93,l,0.25
75.18,;,0.25
75.44,,,0.25
75.69,m,0.25
75.95,,,0.25
76.20,m,0.25
76.45,,,0.25
76.71,m,0.76
77.47,;,0.25
77.72,l,0.25
77.98,k,0.25
78.23,h,0.51
78.74,;,0.25
78.99,l,0.25
79.25,k,0.25
79.50,h,0.25
79.76,k,0.25
80.01,k,0.76
80.77,h,0.25
81.03,;,0.25
81.28,l,0.25
81.53,k,0.25
81.79,h,0.51
82.30,;,0.25
82.55,l,0.25
82.80,k,0.25
83.06,h,0.25
83.31,k,0.25
83.57,k,0.50
