# 超电磁炮+红莲华Dcedillbey
# Converted from SkyStudio format
# BPM: 540
# Total chords: 973

Time,Keys,Duration
0.00,A2B2,0.22
0.22,D3,0.22
0.44,A2B2D3,0.22
0.67,C#3,0.11
0.78,D3,0.11
0.89,A2B2,0.22
1.11,D3,0.22
1.33,A2B2C#3,0.22
1.55,C#3,0.11
1.67,D3,0.11
1.78,A2B2,0.22
2.00,D3,0.22
2.22,A2B2D3,0.22
2.44,C#3,0.11
2.55,D3,0.11
2.66,A2B2,0.22
2.89,D3,0.22
3.11,A2B2C#3,0.22
3.33,C#3,0.11
3.44,D3,0.11
3.55,A2B2,0.22
3.77,D3,0.22
4.00,A2B2D3,0.22
4.22,C#3,0.11
4.33,D3,0.11
4.44,A2B2,0.22
4.66,D3,0.22
4.88,A2B2C#3,0.22
5.11,C#3,0.11
5.22,D3,1.00
6.22,E3,0.22
6.44,D#3,0.22
6.66,C#3,0.22
6.88,A2B2C#3,0.22
7.10,D3,0.11
7.21,D3,0.11
7.33,A2B2,0.22
7.55,C#3,0.22
7.77,A2B2C#3,0.22
7.99,D3,0.11
8.10,D3,0.11
8.21,A2B2,0.22
8.44,C#3,0.22
8.66,A2C#3C3,0.22
8.88,D3,0.11
8.99,D3,0.11
9.10,A2C3,0.22
9.32,D3,0.22
9.55,A2C3D3,0.22
9.77,D#3,0.22
9.99,A2C3E3,0.22
10.21,F3,0.22
10.43,A#2C#3D#3,0.44
10.88,A#2C#3,0.44
11.32,A#2C#3G3,0.44
11.77,A#2F3,0.44
12.21,A2C#3F3,0.33
12.54,F3,0.11
12.65,A2C#3,0.22
12.88,F#3,0.22
13.10,B2C#3,0.22
13.32,E3,0.22
13.54,A#2B2D#3,0.22
13.76,C#3,0.22
13.99,A2B2C#3,0.22
14.21,D3,0.11
14.32,D3,0.11
14.43,A2B2,0.22
14.65,C#3,0.22
14.87,A2B2C#3,0.22
15.10,D3,0.11
15.21,D3,0.11
15.32,A2B2,0.22
15.54,C#3,0.22
15.76,A2C#3C3,0.22
15.98,D3,0.11
16.09,D3,0.22
16.32,A2C3,0.22
16.54,D3,0.22
16.76,A2C3D3,0.22
16.98,D#3,0.22
17.20,A#2C3E3,0.22
17.43,F3,0.22
17.65,A#2C3D3,0.44
18.09,A#2C3,0.44
18.54,A#2C3D3,0.22
18.76,D#3,0.22
18.98,A#2C3E3,0.22
19.20,F3,0.22
19.43,A#2C#3D#3,0.44
19.87,A#2B2C#3,0.44
20.31,A#2B2,0.44
20.76,A#2B2C#3,0.44
21.20,A2C#3C3,0.22
21.42,D3,0.11
21.53,A2C3D3,0.33
21.87,E3,0.22
22.09,A#2C#3D#3,0.22
22.31,C#3,0.11
22.42,A#2B2,0.33
22.75,C#3,0.22
22.98,A2B2C#3,0.22
23.20,D3,0.11
23.31,A2B2D3,0.33
23.64,C#3,0.22
23.86,C#3,0.22
24.09,D3,0.22
24.31,A2A3C3D3E3,0.22
24.53,D#3,0.11
24.64,C4,0.11
24.75,E3,0.22
24.98,A#3G#3,0.33
25.31,G#3,0.22
25.53,A3,0.22
25.75,G#3,0.22
25.97,A#2C#3,0.22
26.20,D#3,0.22
26.42,E3,0.22
26.64,G#3,0.22
26.86,E3,0.11
26.97,F3,0.11
27.08,F3,0.11
27.20,E3,0.11
27.31,F3,0.22
27.53,G3,0.22
27.75,A2C3F#3,0.22
27.97,D3,0.44
28.42,G#3,1.22
29.64,A#2C#3,0.22
29.86,D#3,0.22
30.08,E3,0.11
30.19,F3,0.22
30.41,G#3,0.22
30.64,F#3,0.22
30.86,F3,0.22
31.08,F#3,0.22
31.30,G#3,0.22
31.52,A3B2,0.22
31.75,D#3,0.11
31.86,C4,0.11
31.97,E3,0.22
32.19,A#3G#3,0.33
32.52,G#3,0.22
32.74,A3,0.22
32.97,G#3,0.22
33.19,A#2C#3,0.22
33.41,D#3,0.22
33.63,E3,0.22
33.85,G#3,0.22
34.08,C#3,0.22
34.30,F#3,0.11
34.41,F3,0.11
34.52,F#3,0.11
34.63,F3,0.11
34.74,F#3,0.22
34.97,G3,0.22
35.19,A2C3F#3,0.22
35.41,E3,0.44
35.85,G#3,0.89
36.74,E3,0.22
36.96,A#2C#3D#3,0.33
37.30,D#3,0.33
37.63,E3G#3,0.22
37.85,F3,0.67
38.52,E3,0.22
38.74,D3F3,0.33
39.07,E3,0.33
39.41,D3G#3,0.44
39.85,E3,0.22
40.07,F#3,0.22
40.29,F3,0.22
40.52,A#2C#3,0.22
40.74,D#3F3,0.22
40.96,E3F3,0.22
41.18,F3G#3,0.22
41.40,F3,0.11
41.51,F3,0.22
41.74,F#3,0.33
42.07,E3,0.22
42.29,A2C3F3,0.33
42.62,E3,0.33
42.96,D3G#3,0.44
43.40,E3,0.22
43.62,G3,0.22
43.84,G#3,0.22
44.07,A2C#3,0.22
44.29,D#3F3,0.22
44.51,E3F3,0.22
44.73,F3G#3,0.22
44.95,F3,0.11
45.07,F3,0.22
45.29,E3,0.22
45.51,E3,0.22
45.73,B2D3F3,0.33
46.06,E3,0.33
46.40,D3G#3,0.44
46.84,E3,0.22
47.06,F#3,0.22
47.29,F3,0.22
47.51,A#2C#3,0.44
47.95,F3,0.22
48.17,F#3G#3,0.22
48.40,F3,0.22
48.62,F#3,0.22
48.84,G#3,0.22
49.06,F#3,0.22
49.28,A2C3F3,0.33
49.62,E3,0.33
49.95,G#3,1.00
50.95,E3,0.22
51.17,A#2C#3D#3,0.33
51.50,D#3,0.33
51.84,E3G#3,0.22
52.06,F3,0.44
52.50,D#3,0.22
52.73,A2B2D3E3,0.22
52.95,B2,0.22
53.17,A2,0.22
53.39,B2,0.22
53.61,A2E3,0.22
53.84,B2D#3,0.22
54.06,A2E3,0.22
54.28,B2F3,0.22
54.50,A2D3E3,0.22
54.72,C3,0.22
54.95,A2,0.22
55.17,C3,0.22
55.39,A2E3,0.22
55.61,B2D#3,0.22
55.83,A2E3,0.22
56.05,B2F3,0.22
56.28,A2E3F#3,0.22
56.50,C#3,0.22
56.72,A2,0.22
56.94,C#3,0.22
57.16,A2F#3,0.22
57.39,A2G3,0.22
57.61,C#3F#3,0.22
57.83,A2F3,0.22
58.05,A#2F#3,0.22
58.27,C#3F3,0.22
58.50,A#2E3,0.22
58.72,C#3G#3,0.22
58.94,A2E3F#3,0.22
59.16,C#3,0.22
59.38,A2D#3,0.22
59.61,C#3,0.22
59.83,A2D3E3,0.22
60.05,B2,0.22
60.27,A2,0.22
60.49,B2,0.22
60.72,A2E3,0.22
60.94,B2D#3,0.22
61.16,A2D3E3,0.22
61.38,B2F3,0.22
61.60,A2D3E3,0.22
61.83,C3,0.22
62.05,A2,0.22
62.27,C3,0.22
62.49,A2E3,0.22
62.72,C3D#3,0.22
62.94,B2D3E3,0.22
63.16,C3F3,0.11
63.27,A#2D3F#3,0.22
63.49,C3,0.22
63.71,A#2D3,0.22
63.94,C3,0.22
64.16,A#2F3,0.22
64.38,C#3E3,0.22
64.60,A#2D#3,0.22
64.82,C#3E3,0.22
65.05,A2D#3,0.22
65.27,B2,0.22
65.49,A2,0.22
65.71,B2D3,0.22
65.93,A2D3,0.22
66.16,B2,0.22
66.38,A2,0.22
66.60,B2,0.22
66.82,C3D3F#3,0.22
67.04,A2D3F#3,0.11
67.16,D3F#3,0.11
67.27,C3,0.11
67.38,D3F#3,0.11
67.49,A2D3F#3,0.22
67.71,C3,0.22
67.93,A2D3F#3,0.22
68.15,C3D3F3,0.22
68.38,A2D3E3,0.22
68.60,C#3D#3F3,0.22
68.82,A#2,0.22
69.04,C#3D#3F3,0.22
69.26,A#2F3G#3,0.11
69.38,F3G#3,0.11
69.49,C#3,0.22
69.71,A#2,0.22
69.93,C#3,0.22
70.15,A#2F3G#3,0.11
70.26,F3G#3,0.11
70.37,D#3F3G#3,0.22
70.60,B2G3,0.22
70.82,D#3F#3,0.22
71.04,B2F3,0.22
71.26,D#3G3,0.11
71.37,F#3,0.11
71.48,B2,0.11
71.59,F3,0.11
71.71,D#3,0.22
71.93,B2E3,0.22
72.15,D#3D3,0.22
72.37,B2,0.22
72.59,C#3,0.22
72.82,B2,0.22
73.04,C3D3E3,0.22
73.26,A2D3E3,0.11
