# 超级玛丽
# Converted from SkyStudio format
# BPM: 438
# Total chords: 311

Time,Keys,Duration
0.00,C3F#3,0.14
0.14,C3F#3,0.27
0.41,C3F#3,0.27
0.68,C3E3,0.14
0.82,C3F#3,0.27
1.09,C#3D#3G#3,0.54
1.63,C#3,0.54
2.18,B2E3,0.41
2.58,A2C#3,0.41
2.99,A2B2,0.41
3.40,A2D3,0.27
3.67,A#2D#3,0.27
3.94,A2D3,0.14
4.08,A2D3,0.27
4.35,A2C#3,0.14
4.49,C#3F#3,0.14
4.62,D#3G#3,0.27
4.90,A3E3,0.27
5.17,D3G3,0.14
5.30,D#3G#3,0.27
5.58,D3F#3,0.27
5.85,B2E3,0.14
5.98,C3F3,0.14
6.12,A#2D#3,0.41
6.53,B2E3,0.41
6.94,A2C#3,0.41
7.34,A2B2,0.41
7.75,A2D3,0.27
8.02,A#2D#3,0.27
8.30,A2D3,0.14
8.43,A2D3,0.27
8.70,A2C#3,0.14
8.84,C#3F#3,0.14
8.98,D#3G#3,0.27
9.25,A3E3,0.27
9.52,D3G3,0.14
9.66,D#3G#3,0.27
9.93,D3F#3,0.27
10.20,B2E3,0.14
10.34,C3F3,0.14
10.47,A#2D#3,0.68
11.15,F#3G#3,0.14
11.29,F3G3,0.14
11.42,F3G3,0.14
11.56,D#3F3,0.27
11.83,E3F#3,0.27
12.10,B2C#3,0.14
12.24,C3D3,0.14
12.38,C#3E3,0.27
12.65,A2D3,0.14
12.78,B2E3,0.14
12.92,C3F3,0.41
13.33,F#3G#3,0.14
13.46,F3G3,0.14
13.60,F3G3,0.14
13.74,D#3F3,0.27
14.01,E3F#3,0.27
14.28,C4G#3G3,0.27
14.55,C4G#3G3,0.14
14.69,C4G#3G3,0.82
15.50,F#3G#3,0.14
15.64,F3G3,0.14
15.78,F3G3,0.14
15.91,D#3F3,0.27
16.18,E3F#3,0.27
16.46,B2C#3,0.14
16.59,C3D3,0.14
16.73,C#3E3,0.27
17.00,A2D3,0.14
17.14,B2E3,0.14
17.27,C3F3,0.41
17.68,C#3F#3,0.41
18.09,C3F3,0.41
18.50,B2E3,1.36
19.86,F#3G#3,0.14
19.99,F3G3,0.14
20.13,F3G3,0.14
20.26,D#3F3,0.27
20.54,E3F#3,0.27
20.81,B2C#3,0.14
20.94,C3D3,0.14
21.08,C#3E3,0.27
21.35,A2D3,0.14
21.49,B2E3,0.14
21.62,C3F3,0.41
22.03,F#3G#3,0.14
22.17,F3G3,0.14
22.30,F3G3,0.14
22.44,D#3F3,0.27
22.71,E3F#3,0.27
22.98,C4G#3G3,0.27
23.26,C4G#3G3,0.14
23.39,C4G#3G3,0.82
24.21,F#3G#3,0.14
24.34,F3G3,0.14
24.48,F3G3,0.14
24.62,D#3F3,0.27
24.89,E3F#3,0.27
25.16,B2C#3,0.14
25.30,C3D3,0.14
25.43,C#3E3,0.27
25.70,A2D3,0.14
25.84,B2E3,0.14
25.98,C3F3,0.41
26.38,C#3F#3,0.41
26.79,C3F3,0.41
27.20,B2E3,1.09
28.29,C#3E3,0.14
28.42,C#3E3,0.27
28.70,C#3E3,0.27
28.97,C#3E3,0.14
29.10,D3F3,0.27
29.38,C#3F#3,0.14
29.51,B2E3,0.27
29.78,B2D3,0.14
29.92,A2C#3,0.54
30.46,C#3E3,0.14
30.60,C#3E3,0.27
30.87,C#3E3,0.27
31.14,C#3E3,0.14
31.28,D3F3,0.14
31.42,C#3F#3,1.22
32.64,C#3E3,0.14
32.78,C#3E3,0.27
33.05,C#3E3,0.27
33.32,C#3E3,0.14
33.46,D3F3,0.27
33.73,C#3F#3,0.14
33.86,B2E3,0.27
34.14,B2D3,0.14
34.27,A2C#3,0.54
34.82,C3F#3,0.14
34.95,C3F#3,0.27
35.22,C3F#3,0.27
35.50,C3E3,0.14
35.63,C3F#3,0.27
35.90,C#3D#3G#3,0.54
36.45,C#3,0.54
36.99,B2E3,0.41
37.40,A2C#3,0.41
37.81,C#3F#3,0.41
38.22,A2D3,0.27
38.49,A#2D#3,0.27
38.76,A2D3,0.14
38.90,A2D3,0.27
39.17,A2C#3,0.14
39.30,C#3F#3,0.14
39.44,D#3G#3,0.27
39.71,D3G3,0.27
39.98,D3G3,0.14
40.12,D#3G#3,0.27
40.39,D3F#3,0.27
40.66,B2E3,0.14
40.80,C3F3,0.14
40.94,A#2D#3,0.41
41.34,B2E3,0.41
41.75,A2C#3,0.41
42.16,C#3F#3,0.41
42.57,A2D3,0.27
42.84,A#2D#3,0.27
43.11,A2D3,0.14
43.25,A2D3,0.27
43.52,A2C#3,0.14
43.66,C#3F#3,0.14
43.79,D#3G#3,0.27
44.06,D3G3,0.27
44.34,D3G3,0.14
44.47,D#3G#3,0.27
44.74,D3F#3,0.27
45.02,B2E3,0.14
45.15,C3F3,0.14
