# 超越时空的思念
# Converted from SkyStudio format
# BPM: 240
# Total chords: 110

Time,Keys,Duration
3.00,i,0.50
3.50,p,0.50
4.00,hoy,1.00
5.00,h,0.50
5.50,k,0.50
6.00,jlp,1.00
7.00,;,0.50
7.50,m,0.50
8.00,;hk,1.00
9.00,l,0.50
9.50,k,0.50
10.00,hi,1.00
11.00,;,0.50
11.50,l,0.50
12.00,hoy,0.50
12.50,y,0.50
13.00,;,0.50
13.50,l,0.50
14.00,hu,1.00
15.00,p,1.00
16.00,iy,0.50
16.50,y,0.50
17.00,u,0.50
17.50,i,0.50
18.00,j,1.00
19.00,i,0.50
19.50,p,0.50
20.00,hoy,0.50
20.50,y,0.50
21.00,h,0.50
21.50,k,0.50
22.00,lp,0.50
22.50,j,0.50
23.00,;,0.50
23.50,m,0.50
24.00,;h,0.50
24.50,i,0.50
25.00,l,0.50
25.50,k,0.50
26.00,hi,0.50
26.50,y,0.50
27.00,;,0.50
27.50,l,0.50
28.00,hoy,0.50
28.50,y,0.50
29.00,;,0.50
29.50,l,0.50
30.00,hu,1.00
31.00,p,1.00
32.00,hi,0.50
32.50,j,0.50
33.00,i,0.50
33.50,j,0.50
34.00,k,1.00
35.00,;,0.50
35.50,m,0.50
36.00,,o,0.50
36.50,h,0.50
37.00,,,0.50
37.50,m,0.50
38.00,,p,0.50
38.50,j,0.50
39.00,.,0.50
39.50,m,0.50
40.00,,h,0.50
40.50,k,0.50
41.00,m,0.50
41.50,l,0.50
42.00,;ik,1.00
43.00,;,0.50
43.50,m,0.50
44.00,,o,0.50
44.50,h,0.50
45.00,,,0.50
45.50,m,0.50
46.00,,p,0.50
46.50,/,0.50
47.00,.,0.50
47.50,m,0.50
48.00,;i,0.50
48.50,h,0.50
49.00,j,0.50
49.50,k,0.50
50.00,;i,0.50
50.50,lu,0.50
51.00,;k,0.50
51.50,jm,0.50
52.00,,o,0.50
52.50,h,0.50
53.00,,,0.50
53.50,m,0.50
54.00,,p,0.50
54.50,l,0.50
55.00,.,0.50
55.50,m,0.50
56.00,,h,0.50
56.50,k,0.50
57.00,m,0.50
57.50,l,0.50
58.00,;h,0.50
58.50,i,0.50
59.00,;,0.50
59.50,l,0.50
60.00,ho,0.50
60.50,o,0.50
61.00,;,0.50
61.50,l,0.50
62.00,hu,1.00
63.00,p,1.00
64.00,hi,0.50
