# 踩到猫儿
# Converted from SkyStudio format
# BPM: 440
# Total chords: 76

Time,Keys,Duration
0.00,A3,0.14
0.14,G#3,0.14
0.27,E3,0.27
0.54,C4F#3,0.27
0.82,C4F#3,0.27
1.09,A3,0.14
1.22,G#3,0.14
1.36,E3,0.27
1.63,C4F#3,0.27
1.90,C4F#3,0.27
2.18,A3,0.14
2.31,G#3,0.14
2.45,E3,0.27
2.72,C4F#3,0.27
2.99,D3,0.27
3.26,C4F#3,0.27
3.54,C#3,0.27
3.81,A#3G3,0.27
4.08,A#3G3,0.27
4.35,A3,0.14
4.49,G#3,0.14
4.62,E3,0.27
4.90,A#3G3,0.27
5.17,A#3G3,0.27
5.44,A3,0.14
5.58,G#3,0.14
5.71,E3,0.27
5.98,A#3G3,0.27
6.26,A#3G3,0.27
6.53,A3,0.14
6.66,G#3,0.14
6.80,E3,0.27
7.07,A#3G3,0.27
7.34,D3,0.27
7.62,A#3G3,0.27
7.89,E3,0.27
8.16,C4F#3,0.27
8.43,C4F#3,0.27
8.70,D3,0.14
8.84,C#3,0.14
8.98,F#3,0.27
9.25,B2E3,0.27
9.52,B2E3,0.27
9.79,D3,0.14
9.93,C#3,0.14
10.06,F#3,0.27
10.34,B2E3,0.27
10.61,B2E3,0.27
10.88,D3,0.14
11.02,C#3,0.14
11.15,F#3,0.27
11.42,B2E3,0.27
11.70,G#3,0.27
11.97,B2E3,0.27
12.24,A3,0.27
12.51,C3D#3,0.27
12.78,C3D#3,0.27
13.06,D3,0.14
13.19,C#3,0.14
13.33,A3,0.27
13.60,C3D#3,0.27
13.87,C3D#3,0.27
14.14,D3,0.14
14.28,C#3,0.14
14.42,A3,0.27
14.69,C3D#3,0.27
14.96,C3D#3,0.27
15.23,D3,0.14
15.37,C#3,0.14
15.50,G3,0.27
15.78,C3D#3,0.27
16.05,G#3,0.27
16.32,C3D#3,0.27
16.59,F#3,0.27
16.86,B2E3,0.27
17.14,B2E3,0.50
