# 辉夜大小姐op love is war 烛子ikina
# Converted from SkyStudio format
# BPM: 500
# Total chords: 333

Time,Keys,Duration
0.00,B2D3,0.48
0.48,D3,0.48
0.96,A3C#3,0.24
1.20,D3,0.48
1.68,D3,0.24
1.92,A3,0.24
2.16,C#3,0.24
2.40,D3,0.48
2.88,A3C#3,0.24
3.12,D3,0.48
3.60,D3,0.24
3.84,A3C#3,0.24
4.08,D3,0.48
4.56,D3,0.24
4.80,A3C#3,0.24
5.04,D3,0.24
5.28,E3,0.24
5.52,F3,0.24
5.76,B2F#3,0.48
6.24,F#3,0.48
6.72,C4,0.48
7.20,A#3,0.12
7.32,A3,0.12
7.44,G#3,0.24
7.68,A3D3,0.24
7.92,A3,0.24
8.16,D3,0.48
8.64,C#3,0.24
8.88,G#3,0.24
9.12,F#3,0.24
9.36,A3C3,0.48
9.84,A2A3,0.24
10.08,C3,0.48
10.56,C3,0.24
10.80,B2D3,0.24
11.04,D#3,0.24
11.28,A#2E3,0.48
11.76,A#2D#3,0.24
12.00,D3,0.24
12.24,A#2E3,0.48
12.72,B2D#3,0.24
12.96,C3D3,0.24
13.20,B2F3,0.48
13.68,D3E3,0.48
14.16,B2D#3,0.48
14.64,B2F#3,0.48
15.12,A3,0.24
15.36,D3,0.24
15.60,A3,0.24
15.84,D3,0.48
16.32,C#3,0.24
16.56,G#3,0.24
16.80,F#3,0.24
17.04,A3C3,0.48
17.52,A2A3,0.24
17.76,C3,0.48
18.24,C3,0.24
18.48,B2D3,0.24
18.72,D#3,0.24
18.96,A#2E3,0.48
19.44,A#2D#3,0.24
19.68,D3,0.24
19.92,A#2E3,0.48
20.40,B2D#3,0.24
20.64,C3D3,0.24
20.88,B2F3,0.48
21.36,D3E3,0.48
21.84,B2D#3,0.48
22.32,B2D#3,0.24
22.56,D#3,0.24
22.80,E3,0.24
23.04,C3,0.24
23.28,D#3,0.24
23.52,A2D3,0.24
23.76,B2C#3,0.48
24.24,C#3,0.24
24.48,B2,0.24
24.72,B2C#3,0.48
25.20,B2C#3,0.24
25.44,D3,0.24
25.68,B2D3,0.48
26.16,B2D3,0.24
26.40,D#3,0.24
26.64,A#2E3,0.24
26.88,C3,0.24
27.12,A2D#3,0.24
27.36,C3D3,0.24
27.60,C#3,0.48
28.08,A#2C#3,0.24
28.32,C#3,0.24
28.56,B2F3,0.48
29.04,B2E3,0.24
29.28,D#3,0.24
29.52,B2D3,0.48
30.00,B2D3,0.24
30.24,D#3,0.24
30.48,A#2E3,0.24
30.72,C3,0.24
30.96,A2D#3,0.24
31.20,C3D3,0.24
31.44,C#3,0.48
31.92,A#2C#3,0.24
32.16,B2,0.24
32.40,B2C#3,0.48
32.88,B2D3,0.24
33.12,D#3,0.24
33.36,B2D3,0.48
33.84,A3B2,0.24
34.08,G#3,0.24
34.32,A#2A3,0.48
34.80,A#2A3,0.24
35.04,G#3,0.24
35.28,A3B2,0.48
35.76,A3C3,0.24
36.00,C#3G#3,0.24
36.24,A3D3,2.16
38.40,D3,0.48
38.88,A3B2,0.24
39.12,D3,0.24
39.36,G#3,0.24
39.60,C#3,0.24
39.84,F#3,0.24
40.08,C3G#3,0.48
40.56,A2A3,0.24
40.80,C3,0.48
41.28,E3,0.24
41.52,B2F3,0.24
41.76,F#3,0.24
42.00,A#2F#3,0.48
42.48,A#2,0.24
42.72,F3,0.24
42.96,G#3,0.24
43.20,A#2,0.24
43.44,B2,0.24
43.68,C3G3,0.24
43.92,B2F#3,0.48
44.40,D3,0.24
44.64,G3,0.24
44.88,C#3F#3,0.48
45.36,D3,0.72
46.08,D3,0.48
46.56,A3B2,0.24
46.80,D3,0.24
47.04,G#3,0.24
47.28,C#3,0.24
47.52,F#3,0.24
47.76,C3G#3,0.48
48.24,A2A3,0.24
48.48,C3,0.48
48.96,E3,0.24
49.20,B2F3,0.24
49.44,F#3,0.24
49.68,A#2F#3,0.48
50.16,A#2,0.24
50.40,F3,0.24
50.64,G#3,0.24
50.88,A#2,0.24
51.12,B2,0.24
51.36,C3G3,0.24
51.60,B2F#3,0.48
52.08,B2,0.24
52.32,G3,0.24
52.56,B2F#3,0.48
53.04,B2F#3,0.24
53.28,F#3,0.24
53.52,B2F#3,0.24
53.76,C3,0.48
54.24,A2,0.24
54.48,C3,0.24
54.72,G3,0.36
55.08,G#3,0.12
55.20,A2,0.24
55.44,A3,0.24
55.68,A#3C#3,0.48
56.16,A#2C4,0.24
56.40,A#3C#3,0.48
56.88,G#3,0.24
