# 辞乆门回忆
# Converted from SkyStudio format
# BPM: 270
# Total chords: 94

Time,Keys,Duration
0.22,D3,0.44
0.67,C#3,0.44
1.11,D3,0.44
1.55,F3,0.44
2.00,D#3,0.89
2.89,D3,0.44
3.33,C#3,0.44
3.77,B2,0.44
4.22,C#3,0.44
4.66,D3,0.44
5.11,C#3,0.44
5.55,B2,0.44
5.99,A#2,0.44
6.44,B2,0.44
6.88,C#3,0.44
7.33,D3,0.44
7.77,A#2,0.44
8.21,B2,0.67
8.88,A#2,0.44
9.32,A2,1.33
10.66,B2,0.44
11.10,C#3,0.44
11.54,D3,0.44
11.99,C#3,0.44
12.43,D3,0.44
12.88,F3,0.44
13.32,D#3,0.89
14.21,C#3,0.44
14.65,B2,0.44
15.10,C#3,0.44
15.54,F3,0.44
15.98,F#3,0.44
16.43,E3,1.11
17.54,D#3,0.44
17.98,D3,0.44
18.43,F#3,0.44
18.87,F3,0.44
19.31,E3,0.44
19.76,D3,0.44
20.20,E3,0.44
20.65,F3,0.44
21.09,E3,0.44
21.53,D3,0.44
21.98,E3,0.44
22.42,F3,0.44
22.87,E3,0.44
23.31,D3,1.78
25.09,E3,0.67
25.75,D3,0.44
26.20,F#3,0.44
26.64,D#3F3,0.89
27.53,E3,0.44
27.97,D3,0.44
28.42,E3F#3,0.44
28.86,F3,0.44
29.30,F#3,0.44
29.75,F3G#3,0.44
30.19,E3F#3,0.89
31.08,D#3F3,0.44
31.52,E3,0.44
31.97,D3,0.44
32.41,E3,0.44
32.86,F3,0.44
33.30,F#3,0.44
33.74,D#3F3,0.89
34.63,D3E3,0.44
35.08,D#3F3,0.44
35.52,E3F#3,0.44
35.96,F3,0.44
36.41,F#3,0.44
36.85,F#3G#3,0.44
37.30,E3F#3,0.89
38.18,D#3F3,0.44
38.63,E3,0.44
39.07,C3D3,0.89
39.96,D#3F3,0.44
40.40,F#3,0.44
40.85,D#3F3,0.89
41.74,E3,0.44
42.18,F3,0.44
42.62,E3F#3,0.44
43.07,F3,0.44
43.51,F#3,0.44
43.96,F#3G#3,0.44
44.40,E3F#3,0.89
45.29,F3,0.44
45.73,F#3,0.44
46.18,F#3G#3,0.44
46.62,F#3,0.44
47.06,F3,0.44
47.51,E3F#3,0.44
47.95,D#3F3,0.89
48.84,E3,0.89
49.73,D3,0.50
