# 进击的巨人Guren no Yumiya 烛子ikina
# Converted from SkyStudio format
# BPM: 720
# Total chords: 305

Time,Keys,Duration
0.00,A2A3D3E3F#3,0.17
0.17,A3E3,0.17
0.33,B2C4E3F#3,0.17
0.50,A#2A#3D#3F3,0.33
0.83,A#2C#3D#3F3G#3,0.17
1.00,D#3G#3,0.17
1.16,A3B2D3E3F#3,0.33
1.49,A3B2D3E3,0.17
1.66,B2C4E3F#3,0.17
1.83,A#2A#3D#3F3,0.33
2.16,A#2C#3D#3F3G#3,0.50
2.66,A2D3F#3,0.17
2.82,B2,0.17
2.99,A2E3,0.17
3.15,B2F3,0.17
3.32,A2,0.17
3.49,B2D#3,0.17
3.65,A2,0.17
3.82,B2E3,0.17
3.98,A2,0.17
4.15,B2D3,0.17
4.32,A2,0.17
4.48,B2D#3,0.17
4.65,A2,0.17
4.81,B2C#3,0.17
4.98,A2,0.17
5.15,B2,0.17
5.31,A2D3F#3,0.17
5.48,C3,0.17
5.64,A2E3,0.17
5.81,C3F3,0.17
5.98,A2,0.17
6.14,C3D#3,0.17
6.31,A2,0.17
6.47,C3E3,0.17
6.64,A#2,0.17
6.81,C#3D#3,0.17
6.97,A#2,0.17
7.14,C#3D3,0.17
7.30,A#2,0.17
7.47,C#3,0.17
7.64,A#2,0.33
7.97,A2D3F#3,0.17
8.13,B2,0.17
8.30,A2D3E3,0.17
8.47,B2D#3F3,0.17
8.63,A2,0.17
8.80,B2C#3D#3,0.17
8.96,A2,0.17
9.13,B2D3E3,0.17
9.30,A2,0.17
9.46,B2D3,0.17
9.63,A2,0.17
9.79,B2C#3D#3,0.17
9.96,A2,0.17
10.13,B2C#3,0.17
10.29,A2,0.17
10.46,B2,0.17
10.62,A2D3F#3,0.17
10.79,C3,0.17
10.96,A2D3E3,0.17
11.12,C3D#3F3,0.17
11.29,A2,0.17
11.45,C#3C3D#3,0.17
11.62,A2,0.17
11.79,C3D3E3,0.17
11.95,A#2,0.17
12.12,C#3D#3,0.17
12.28,A#2,0.17
12.45,C#3D3,0.17
12.62,A#2,0.17
12.78,C#3,0.17
12.95,A#2,0.33
13.28,A2C3D3,0.33
13.61,A2C3,0.17
13.78,D3,0.17
13.94,A2C3,0.17
14.11,D3,0.17
14.28,A2C3D#3,0.17
14.44,E3,0.17
14.61,A#2C#3D#3,0.17
14.77,D3,0.17
14.94,A#2C#3,0.33
15.27,A#2,0.33
15.60,B2,0.17
15.77,C#3,0.17
15.94,A2B2D3,0.33
16.27,B2,0.17
16.43,D3,0.17
16.60,A#2C#3D#3,0.33
16.93,C#3,0.17
17.10,D#3,0.17
17.26,B2D3E3,0.33
17.60,C#3,0.17
17.76,E3,0.17
17.93,B2D3E3,0.50
18.43,A#2C3D3F3,0.33
18.76,F3,0.17
18.92,A#2C3F3,0.17
19.09,F3,0.17
19.26,A#2C3D3,0.33
19.59,A#2C3F3,0.33
19.92,A2B2C#3E3,0.17
20.09,E3,0.17
20.25,A2B2E3,0.17
20.42,C#3,0.17
20.58,A2B2,0.17
20.75,E3,0.33
21.08,A#2C3D3F3,0.33
21.41,F3,0.17
21.58,A#2C3F3,0.17
21.75,F3,0.17
21.91,A#2C3D3,0.33
22.24,A#2C3F3,0.17
