# 进击的巨人Guren no Yumiya 简易版easy 烛子ikina
# Converted from SkyStudio format
# BPM: 720
# Total chords: 208

Time,Keys,Duration
0.00,A2A3,0.17
0.17,A3,0.17
0.33,C4,0.17
0.50,A#3,0.33
0.83,G#3,0.17
1.00,G#3,0.17
1.16,A3,0.17
1.33,B2,0.17
1.49,A3,0.17
1.66,C4,0.17
1.83,A#3,0.33
2.16,G#3,0.50
2.66,A2F#3,0.33
2.99,E3,0.17
3.15,F3,0.33
3.49,D#3,0.33
3.82,E3,0.17
3.98,B2,0.17
4.15,D3,0.33
4.48,D#3,0.33
4.81,C#3,0.50
5.31,C3F#3,0.33
5.64,E3,0.17
5.81,F3,0.33
6.14,D#3,0.33
6.47,E3,0.17
6.64,C#3,0.17
6.81,D#3,0.33
7.14,D3,0.33
7.47,C#3,0.50
7.97,A2F#3,0.33
8.30,E3,0.17
8.47,F3,0.33
8.80,D#3,0.33
9.13,E3,0.17
9.30,B2,0.17
9.46,D3,0.33
9.79,D#3,0.33
10.13,C#3,0.50
10.62,C3F#3,0.33
10.96,E3,0.17
11.12,F3,0.33
11.45,D#3,0.33
11.79,E3,0.17
11.95,C#3,0.17
12.12,D#3,0.33
12.45,D3,0.33
12.78,C#3,0.50
13.28,C3D3,0.50
13.78,D3,0.33
14.11,D3,0.17
14.28,D#3,0.17
14.44,E3,0.17
14.61,A#2D#3,0.17
14.77,D3,0.17
14.94,C#3,0.66
15.60,B2,0.17
15.77,C#3,0.17
15.94,A2D3,0.33
16.27,B2,0.17
16.43,D3,0.17
16.60,A#2D#3,0.33
16.93,C#3,0.17
17.10,D#3,0.17
17.26,B2E3,0.33
17.60,C#3,0.17
17.76,E3,0.17
17.93,B2E3,0.50
18.43,C3F3,0.33
18.76,F3,0.17
18.92,F3,0.17
19.09,F3,0.17
19.26,D3,0.33
19.59,F3,0.33
19.92,B2E3,0.17
20.09,E3,0.17
20.25,E3,0.17
20.42,C#3,0.33
20.75,E3,0.33
21.08,C3F3,0.33
21.41,F3,0.17
21.58,F3,0.17
21.75,F3,0.17
21.91,D3,0.33
22.24,F3,0.17
22.41,F3,0.17
22.58,C3F3,0.66
23.24,B2E3,0.66
23.90,A2A3,0.17
24.07,A3,0.17
24.24,C4,0.17
24.40,A#3,0.33
24.73,G#3,0.33
25.07,A3,0.17
25.23,B2,0.17
25.40,A3,0.17
25.56,C4,0.17
25.73,A#3,0.33
26.06,G#3,0.50
26.56,A3C3,0.33
26.89,C4,0.17
27.06,A#3,0.33
27.39,A3,0.33
27.72,A3,0.17
27.89,C#3,0.17
28.05,G#3,0.33
28.39,F#3,0.33
28.72,G#3,0.50
29.22,A2A3,0.17
29.38,A3,0.17
29.55,C4,0.17
29.71,A#3,0.33
30.05,G#3,0.33
30.38,A3,0.17
30.54,B2,0.17
30.71,A3,0.17
30.88,C4,0.17
31.04,A#3,0.33
31.37,G#3,0.50
31.87,A3C3,0.17
32.04,A3,0.17
32.20,C4,0.17
32.37,A#3,0.33
32.70,C4,0.17
32.87,A#3,0.17
33.03,G#3,0.33
33.37,B2F#3,0.50
33.86,A#2F3,0.66
34.53,A2A3,0.17
34.69,A3,0.17
34.86,C4,0.17
35.03,A#3,0.33
35.36,G#3,0.33
35.69,A3,0.17
35.86,B2,0.17
36.02,A3,0.17
36.19,C4,0.17
36.35,A#3,0.33
36.69,G#3,0.50
37.18,A3C3,0.33
37.52,C4,0.17
37.68,A#3,0.33
38.01,A3,0.33
38.35,A3,0.17
38.51,C#3,0.17
38.68,G#3,0.33
39.01,F#3,0.33
39.34,G#3,0.50
39.84,A2A3,0.17
40.01,A3,0.17
40.17,C4,0.17
40.34,A#3,0.33
40.67,G#3,0.33
41.00,A3,0.17
41.17,B2,0.17
41.33,A3,0.17
41.50,C4,0.17
41.67,A#3,0.33
42.00,G#3,0.33
42.33,A3,0.17
42.50,A3C3,0.33
42.83,C4,0.17
42.99,A#3,0.33
43.33,A3,0.17
43.49,G#3,0.17
43.66,A3,0.17
43.82,A2F#3,0.33
44.16,E3,0.17
44.32,F3,0.33
44.65,D#3,0.33
44.99,E3,0.17
45.15,B2,0.17
45.32,D3,0.33
45.65,D#3,0.33
45.98,C#3,0.50
46.48,C3F#3,0.33
46.81,E3,0.17
46.98,F3,0.33
47.31,D#3,0.33
47.64,E3,0.17
47.81,C#3,0.17
47.97,D#3,0.33
48.31,D3,0.33
48.64,C#3,0.50
49.14,A2F#3,0.33
49.47,E3,0.17
49.63,F3,0.33
49.97,D#3,0.33
50.30,E3,0.17
50.46,B2,0.17
50.63,D3,0.33
50.96,D#3,0.33
51.29,C#3,0.50
51.79,C3F#3,0.33
52.12,E3,0.17
52.29,F3,0.33
52.62,D#3,0.33
52.95,E3,0.17
53.12,C#3,0.17
53.29,D#3,0.33
53.62,D3,0.33
53.95,C#3,0.50
54.45,A3C3,0.33
54.78,C4,0.17
54.95,A#3,0.33
55.28,A3B2,0.17
55.44,A#2G#3,0.17
55.61,A2A3,0.50
