# 追
# Converted from SkyStudio format
# BPM: 300
# Total chords: 288

Time,Keys,Duration
0.00,mo,0.40
0.40,y,0.20
0.60,k,0.60
1.20,l,0.40
1.60,p,0.20
1.80,u,0.20
2.00,p,0.20
2.20,k,0.20
2.40,j,0.40
2.80,j,0.20
3.00,k,0.20
3.20,il,0.40
3.60,p,0.20
3.80,;,0.60
4.40,j,0.20
4.60,k,0.20
4.80,hy,0.40
5.20,i,0.40
5.60,hy,0.20
5.80,j,0.20
6.00,k,0.40
6.40,mo,0.40
6.80,y,0.20
7.00,k,0.60
7.60,l,0.40
8.00,pu,0.80
8.80,l,0.40
9.20,;,0.20
9.40,n,0.20
9.60,o,0.20
9.80,y,0.20
10.00,o,0.20
10.20,k,0.40
10.60,h,0.20
10.80,k,0.20
11.00,m,0.60
11.60,;,0.40
12.00,k,0.40
12.40,p,0.80
13.20,h,0.40
13.60,o,2.40
16.00,iy,0.40
16.40,p,0.40
16.80,py,0.40
17.20,i,0.20
17.40,p,0.20
17.60,y,0.40
18.00,k,0.40
18.40,ijy,0.40
18.80,p,0.20
19.00,y,0.20
19.20,iu,0.40
19.60,p,0.40
20.00,pu,0.40
20.40,i,0.20
20.60,p,0.20
20.80,u,0.40
21.20,k,0.40
21.60,iju,0.40
22.00,p,0.40
22.40,opy,0.40
22.80,y,0.40
23.20,y,0.40
23.60,p,0.40
24.00,oy,0.40
24.40,i,0.20
24.60,o,0.20
24.80,y,0.40
25.20,p,0.40
25.60,hou,0.40
26.00,p,0.40
26.40,pu,0.40
26.80,o,0.20
27.00,i,0.20
27.20,y,0.40
27.60,u,0.40
28.00,y,0.20
28.20,p,0.20
28.40,j,0.20
28.60,k,0.20
28.80,iy,0.40
29.20,p,0.40
29.60,py,0.40
30.00,i,0.20
30.20,p,0.20
30.40,y,0.40
30.80,k,0.40
31.20,ijy,0.40
31.60,p,0.20
31.80,y,0.20
32.00,iu,0.40
32.40,p,0.40
32.80,pu,0.40
33.20,i,0.20
33.40,p,0.20
33.60,u,0.40
34.00,k,0.40
34.40,iju,0.40
34.80,k,0.40
35.20,;oy,0.40
35.60,h,0.40
36.00,y,0.20
36.20,o,0.20
36.40,k,0.20
36.60,h,0.20
36.80,;y,0.40
37.20,ho,0.40
37.60,hoy,0.40
38.00,;,0.40
38.40,pu,0.40
38.80,l,0.40
39.20,pu,0.40
39.60,k,0.40
40.00,jpu,0.80
40.80,u,0.20
41.00,p,0.20
41.20,p,0.20
41.40,p,0.20
41.60,ipy,0.20
41.80,;,0.20
42.00,;,0.20
