# 遇见
# Converted from SkyStudio format
# BPM: 310
# Total chords: 421

Time,Keys,Duration
0.77,m,0.39
1.16,;,0.39
1.54,y,0.39
1.93,p,0.39
2.32,m,0.39
2.70,l,0.39
3.09,u,0.39
3.47,p,0.39
3.86,m,0.39
4.25,k,0.39
4.63,i,0.39
5.02,p,0.39
5.40,h,0.39
5.79,j,0.39
6.18,k,0.39
6.56,i,0.39
6.95,p,0.39
7.33,k,0.39
7.72,y,0.39
8.11,o,0.39
8.49,m,0.39
8.88,k,0.39
9.26,u,0.39
9.65,p,0.39
10.04,l,0.39
10.42,;,0.39
10.81,i,0.39
11.19,p,0.39
11.58,n,0.39
11.97,;,0.19
12.16,l,0.19
12.35,pu,0.77
13.12,pu,0.77
13.90,iy,0.39
14.28,i,0.39
14.67,py,0.39
15.05,i,0.39
15.44,hu,0.39
15.83,p,0.39
16.21,ju,0.39
16.60,p,0.39
16.98,ij,0.39
17.37,p,0.39
17.76,ik,0.39
18.14,p,0.39
18.53,jlp,0.39
18.91,k,0.39
19.30,;kp,0.39
19.69,k,0.39
20.07,kny,0.39
20.46,o,0.39
20.84,h,0.39
21.23,o,0.39
21.62,y,0.39
22.00,o,0.39
22.39,;hk,0.39
22.77,o,0.19
22.97,jl,0.19
23.16,jlu,0.39
23.55,p,0.39
23.93,j,0.39
24.32,l,0.39
24.70,m,0.77
25.48,km,0.39
25.86,;k,0.39
26.25,y,0.39
26.63,p,0.39
27.02,kmy,0.39
27.41,jl,0.39
27.79,u,0.39
28.18,p,0.39
28.56,jmu,0.39
28.95,k,0.39
29.34,i,0.39
29.72,p,0.39
30.11,k,0.39
30.49,p,0.39
30.88,i,0.39
31.27,p,0.39
31.65,k,0.39
32.04,j,0.39
32.42,hy,0.39
32.81,jo,0.39
33.20,hk,0.39
33.58,jo,0.39
33.97,u,0.39
34.35,kp,0.39
34.74,j,0.39
35.13,lp,0.39
35.51,;i,0.39
35.90,p,0.39
36.28,k,0.39
36.67,p,0.39
37.06,i,0.39
37.44,p,0.39
37.83,km,0.39
38.21,;k,0.39
38.60,y,0.39
38.99,p,0.39
39.37,kmy,0.39
39.76,jl,0.39
40.14,u,0.39
40.53,p,0.39
40.92,jmu,0.39
41.30,/k,0.39
41.69,i,0.39
42.07,p,0.39
42.46,k,0.39
42.85,p,0.39
43.23,i,0.39
43.62,p,0.39
44.00,k,0.39
44.39,j,0.39
44.78,hy,0.39
45.16,jo,0.39
45.55,hk,0.39
45.93,jo,0.39
46.32,u,0.39
46.71,kp,0.39
47.09,jl,0.39
47.48,p,0.19
47.67,k,0.19
47.86,ik,0.39
48.25,p,0.39
48.64,k,0.39
49.02,p,0.39
49.41,i,0.39
49.79,kmp,0.39
50.18,,k,0.39
50.57,.k,0.39
50.95,/ky,0.39
51.34,o,0.39
51.72,.hk,0.39
52.11,/ko,0.39
52.50,.ku,0.39
52.88,,kp,0.39
53.27,jkm,0.39
53.65,knp,0.39
54.04,ikm,0.39
54.43,p,0.39
54.81,k,0.39
55.20,;,0.39
55.58,m,0.39
55.97,k,0.39
56.36,l,0.39
56.74,;,0.39
57.13,kny,0.39
57.51,o,0.39
57.90,;hk,0.39
58.29,kno,0.39
58.67,;ku,0.39
59.06,jlp,0.39
59.44,k,0.39
59.83,jp,0.39
60.22,y,0.39
60.60,ik,0.39
60.99,p,0.39
61.37,k,0.39
61.76,;,0.77
62.53,km,0.39
62.92,;k,0.39
63.30,py,0.77
64.08,kmpy,0.39
64.46,jl,0.39
64.85,pu,0.77
65.62,jmpu,0.39
66.01,k,0.39
66.39,ip,0.77
67.16,ip,0.77
67.94,hi,0.77
68.71,hik,0.39
69.09,j,0.39
69.48,hoy,0.39
69.87,j,0.39
70.25,koy,0.39
70.64,j,0.39
71.02,pu,0.39
71.41,k,0.39
71.80,pu,0.39
72.18,l,0.39
72.57,;ip,0.77
73.34,ip,0.77
74.11,hi,0.77
74.88,hikm,0.39
75.27,;k,0.39
75.66,py,0.77
76.43,kmpy,0.39
76.81,jl,0.39
77.20,pu,0.77
77.97,/kpu,0.58
78.55,.k,0.19
78.74,/ikp,0.77
79.52,ip,0.77
80.29,hi,0.77
81.06,hik,0.39
81.45,j,0.39
81.83,hoy,0.39
82.22,j,0.39
82.60,koy,0.39
82.99,j,0.39
83.38,pu,0.39
83.76,k,0.39
84.15,lpu,0.58
84.73,k,0.19
84.92,kpy,0.77
85.69,py,0.77
86.46,py,0.39
86.85,km,0.39
87.24,,kpy,0.39
87.62,.k,0.39
88.01,/koy,0.77
88.78,.koy,0.39
89.17,/koy,0.39
89.55,.kpu,0.39
89.94,,k,0.39
90.32,kmpu,0.39
90.71,knpu,0.39
91.10,ikmp,0.77
91.87,ip,0.39
92.25,ip,0.39
92.64,hi,0.39
93.03,k,0.39
93.41,hil,0.39
93.80,;hi,0.39
94.18,knoy,0.77
94.96,;koy,0.39
95.34,knoy,0.39
95.73,kmpu,0.39
96.11,k,0.39
96.50,kpu,0.39
96.89,,kpu,0.39
97.27,ip,0.39
97.66,km,0.39
98.04,ip,0.39
98.43,ip,0.39
98.82,hi,0.39
99.20,km,0.39
99.59,,hik,0.39
99.97,.hik,0.39
100.36,/koy,0.77
101.13,.koy,0.39
101.52,/koy,0.39
101.90,.kpu,0.39
102.29,,k,0.39
102.68,kmpu,0.39
103.06,knpu,0.39
103.45,ikmp,0.77
104.22,ip,0.39
104.61,ip,0.39
104.99,hi,0.39
105.38,k,0.39
105.76,hil,0.39
106.15,;hi,0.39
106.54,knoy,0.77
107.31,;koy,0.39
107.69,knoy,0.39
108.08,;kpu,0.39
108.47,l,0.39
108.85,kpu,0.39
109.24,jpu,0.39
109.62,ip,0.39
110.01,k,0.39
110.40,ip,0.39
110.78,ip,0.39
111.17,hi,0.39
111.55,km,0.39
111.94,,hik,0.39
112.33,.hik,0.39
112.71,/ky,0.19
112.91,o,0.19
113.10,h,0.19
113.29,o,0.19
113.48,.ky,0.19
113.68,o,0.19
113.87,/hk,0.19
114.06,o,0.19
114.26,.ku,0.19
114.45,p,0.19
114.64,,jk,0.19
114.83,p,0.19
115.03,kmu,0.19
115.22,p,0.19
115.41,jkn,0.19
115.61,p,0.19
115.80,ikm,0.19
115.99,p,0.19
116.19,k,0.19
116.38,p,0.19
116.57,i,0.19
116.77,p,0.19
116.96,k,0.19
117.15,p,0.19
117.34,i,0.19
117.54,h,0.19
117.73,k,0.19
117.92,h,0.19
118.12,il,0.19
118.31,h,0.19
118.50,;k,0.19
118.69,h,0.19
118.89,kny,0.19
119.08,o,0.19
119.27,h,0.19
119.47,o,0.19
119.66,;ky,0.19
119.85,o,0.19
120.05,hkn,0.19
120.24,o,0.19
120.43,kmu,0.19
120.62,p,0.19
120.82,jk,0.19
121.01,p,0.19
121.20,ku,0.19
121.40,p,0.19
121.59,,jk,0.19
121.78,p,0.19
121.98,i,0.19
122.17,p,0.19
122.36,km,0.19
122.56,p,0.19
122.75,i,0.19
122.94,p,0.19
123.13,k,0.19
123.33,p,0.19
123.52,i,0.19
123.71,h,0.19
123.91,km,0.19
124.10,h,0.19
124.29,,ik,0.19
124.48,h,0.19
124.68,.k,0.19
124.87,h,0.19
125.06,/ky,0.19
125.26,o,0.19
125.45,h,0.19
125.64,o,0.19
125.84,.ky,0.19
126.03,o,0.19
126.22,/hk,0.19
126.42,o,0.19
126.61,jlu,0.19
126.80,p,0.19
126.99,jk,0.19
127.19,p,0.19
127.38,jlu,0.19
127.57,p,0.19
127.77,;j,0.19
127.96,p,0.19
128.15,i,0.19
128.34,p,0.19
128.54,k,0.19
128.73,p,0.19
128.92,i,0.19
129.12,p,0.19
129.31,k,0.19
129.50,p,0.19
129.70,i,0.19
129.89,h,0.19
130.08,k,0.19
130.28,h,0.19
130.47,il,0.19
130.66,h,0.19
130.85,;k,0.19
131.05,h,0.19
131.24,kny,0.19
131.43,o,0.19
131.63,h,0.19
131.82,o,0.19
132.01,;ky,0.19
132.21,o,0.19
132.40,hkn,0.19
132.59,o,0.19
132.78,;ku,0.19
132.98,p,0.19
133.17,jl,0.19
133.36,p,0.19
133.56,ku,0.19
133.75,p,0.19
133.94,j,0.19
134.13,p,0.19
134.33,ik,0.19
134.52,p,0.19
134.71,k,0.19
134.91,p,0.19
135.10,i,0.19
135.29,p,0.19
135.49,k,0.19
135.68,p,0.19
135.87,ikpy,0.39
136.26,m,0.39
136.64,,,0.39
137.03,.,0.39
137.42,/y,0.39
137.80,o,0.39
138.19,.h,0.39
138.57,/o,0.39
138.96,.u,0.39
139.35,,p,0.39
139.73,jm,0.39
140.12,np,0.39
140.50,i,0.39
140.89,mp,0.39
141.28,k,0.39
141.66,p,0.39
142.05,hi,0.39
142.43,k,0.39
142.82,l,0.39
143.21,;,0.39
143.59,ny,0.39
143.98,o,0.39
144.36,;h,0.39
144.75,no,0.39
145.14,;u,0.39
145.52,lp,0.39
145.91,jk,0.39
146.29,jp,0.39
146.68,ky,0.39
147.07,i,0.39
147.45,p,0.39
147.84,j,0.39
148.22,k,0.50
