# 遥不可及的你 安迪Zoey
# Converted from SkyStudio format
# BPM: 280
# Total chords: 455

Time,Keys,Duration
2.57,E3,0.43
3.00,F3,0.43
3.42,A2F#3,0.43
3.85,C#3,0.43
4.28,G#3,0.43
4.71,C#3,0.43
5.14,C#3F3,0.43
5.56,A#2,0.43
5.99,C#3,0.43
6.42,A#2,0.43
6.85,D3E3,0.43
7.28,D3,0.43
7.70,F3,0.43
8.13,D3,0.43
8.56,B2F#3,0.43
8.99,B2,0.43
9.42,C#3,0.86
10.27,C3D3,0.43
10.70,C3,0.43
11.13,E3,0.43
11.56,C3,0.43
11.98,A2C#3,0.43
12.41,B2,0.43
12.84,C#3,0.86
13.70,C3E3,0.43
14.12,C3,0.43
14.55,D#3,0.43
14.98,E3,0.43
15.41,C#3F3,0.43
15.84,A#2,0.43
16.26,C#3,0.86
17.12,A2E3,0.21
17.33,E3,0.21
17.55,B2E3,0.21
17.76,E3,0.21
17.98,C#3E3,0.21
18.19,E3,0.21
18.40,B2E3,0.21
18.62,F3,0.21
18.83,A#2F#3,0.43
19.26,C#3G#3,0.43
19.69,D#3,0.43
20.12,C#3,0.43
20.54,D3E3,0.21
20.76,E3,0.21
20.97,B2E3,0.21
21.19,E3,0.21
21.40,D3E3,0.21
21.61,E3,0.21
21.83,B2E3,0.21
22.04,C#3,0.21
22.26,B2D3,0.43
22.68,B2C#3,0.43
23.11,B2,0.43
23.54,B2C#3,0.21
23.75,C#3,0.21
23.97,C3E3,0.21
24.18,E3,0.21
24.40,D3E3,0.43
24.82,C3E3,0.43
25.25,D3,0.21
25.47,D3,0.21
25.68,A2F#3,0.21
25.89,F#3,0.21
26.11,B2G#3,0.43
26.54,C#3E3,0.43
26.96,B2E3,0.21
27.18,C#3,0.21
27.39,C3D3,0.21
27.61,E3,0.21
27.82,D3E3,0.21
28.03,E3,0.21
28.25,C3E3,0.21
28.46,E3,0.21
28.68,D3E3,0.21
28.89,D3,0.21
29.10,A#2F#3,0.43
29.53,C#3F3,0.43
29.96,D#3,0.43
30.39,C#3,0.43
30.82,A2E3,0.21
31.03,E3,0.21
31.24,B2E3,0.21
31.46,E3,0.21
31.67,C#3E3,0.21
31.89,E3,0.21
32.10,B2E3,0.21
32.31,F3,0.21
32.53,A#2F#3,0.43
32.96,C#3G#3,0.43
33.38,D#3,0.43
33.81,C#3,0.43
34.24,D3E3,0.21
34.45,E3,0.21
34.67,B2E3,0.21
34.88,E3,0.21
35.10,D3E3,0.21
35.31,E3,0.21
35.52,B2E3,0.21
35.74,C#3,0.21
35.95,B2D3,0.43
36.38,B2C#3,0.43
36.81,B2,0.43
37.24,B2C#3,0.21
37.45,C#3,0.21
37.66,C3E3,0.21
37.88,E3,0.21
38.09,D3E3,0.43
38.52,C3E3,0.21
38.73,E3,0.21
38.95,D3,0.21
39.16,D3,0.21
39.38,A2F#3,0.21
39.59,F#3,0.21
39.80,B2G#3,0.43
40.23,C#3E3,0.43
40.66,B2E3,0.21
40.87,C#3,0.21
41.09,C3D3,0.21
41.30,E3,0.21
41.52,D3E3,0.21
41.73,E3,0.21
41.94,C3E3,0.21
42.16,E3,0.21
42.37,D3E3,0.21
42.59,D3,0.21
42.80,A#2F#3,0.43
43.23,C#3F3,0.43
43.66,E3,0.43
44.08,C#3F3,0.43
44.51,A2B2F#3,0.43
44.94,C#3,0.21
45.15,G#3,0.21
45.37,E3,0.43
45.80,C#3,0.21
46.01,G#3,0.21
46.22,A#2C#3,0.43
46.65,C#3G#3,0.43
47.08,D#3,0.43
47.51,C#3D#3,0.43
47.94,B2D3E3,0.21
48.15,E3,0.21
48.36,B2,0.21
48.58,E3,0.21
48.79,D3E3,0.21
49.01,E3,0.21
49.22,B2,0.21
49.43,F3,0.21
49.65,B2D#3F#3,0.43
50.08,B2,0.43
50.50,E3,0.43
50.93,B2C#3,0.43
51.36,C3D3,0.43
51.79,A2,0.43
52.22,C3E3,0.43
52.64,A2C#3,0.43
53.07,A2,0.43
53.50,B2,0.43
53.93,C#3,0.43
54.36,B2C#3,0.21
54.57,C#3,0.21
54.78,C3D3,0.21
55.00,E3,0.21
55.21,A2,0.21
55.43,E3,0.21
55.64,C3E3,0.21
55.85,E3,0.21
56.07,A2,0.21
56.28,D3,0.21
56.50,C#3F#3,0.43
56.92,A#2F3,0.43
57.35,C#3E3,0.43
57.78,A#2F3,0.43
58.21,A2B2F#3,0.43
58.64,C#3,0.21
58.85,G#3,0.21
59.06,E3,0.43
59.49,C#3,0.21
59.71,G#3,0.21
59.92,A#2C#3,0.43
60.35,D#3,0.43
60.78,F3G#3,0.43
61.20,D#3G#3,0.43
61.63,A3B2D3,0.21
61.85,A3,0.21
62.06,A3E3,0.21
62.27,A3,0.21
62.49,A3F#3,0.21
62.70,G#3,0.21
62.92,E3,0.21
63.13,F#3,0.21
63.34,B2D#3,0.43
63.77,F#3G#3,0.43
64.20,B2E3,0.43
64.63,B2C#3,0.43
65.06,C3D3,0.43
65.48,A2,0.43
65.91,C3E3,0.43
66.34,A2C#3,0.43
66.77,A2,0.43
67.20,B2,0.43
67.62,C#3,0.43
68.05,B2C#3,0.43
68.48,A#2F3,0.21
68.69,F3,0.21
68.91,C#3,0.21
69.12,E3,0.21
69.34,A#2F3,0.21
69.55,E3,0.21
69.76,C#3F3,0.43
70.19,A2B2C#3E3,1.71
71.90,A2F#3,0.43
72.33,C#3,0.43
72.76,G#3,0.43
73.19,C#3,0.43
73.62,C#3F3,0.43
74.04,A#2,0.43
74.47,C#3,0.43
74.90,A#2,0.43
75.33,D3E3,0.43
75.76,D3,0.43
76.18,F3,0.43
76.61,D3,0.43
77.04,B2F#3,0.43
77.47,B2,0.43
77.90,C#3,0.86
78.75,C3D3,0.43
79.18,C3,0.43
79.61,E3,0.43
80.04,C3,0.43
80.46,A2C#3,0.43
80.89,B2,0.43
81.32,C#3,0.86
82.18,C3E3,0.43
82.60,C3,0.43
83.03,D#3,0.43
83.46,E3,0.43
83.89,C#3F3,0.43
84.32,A#2,0.43
84.74,C#3,0.86
85.60,A2E3,0.21
85.81,E3,0.21
86.03,B2E3,0.21
86.24,E3,0.21
86.46,C#3E3,0.21
86.67,E3,0.21
86.88,B2E3,0.21
87.10,F3,0.21
87.31,A#2F#3,0.43
87.74,C#3G#3,0.43
88.17,D#3,0.43
88.60,C#3,0.21
88.81,C#3,0.21
89.02,D3E3,0.21
89.24,E3,0.21
89.45,B2E3,0.21
89.67,E3,0.21
89.88,D3E3,0.43
90.31,B2E3,0.21
90.52,C#3,0.21
90.74,B2D3,0.43
91.16,B2C#3,0.43
91.59,B2,0.43
92.02,B2C#3,0.21
92.23,C#3,0.21
92.45,C3E3,0.21
92.66,E3,0.21
92.88,D3E3,0.21
93.09,E3,0.21
93.30,C3E3,0.21
93.52,E3,0.21
93.73,D3,0.21
93.95,D3,0.21
94.16,A2F#3,0.43
94.59,B2G#3,0.21
94.80,E3,0.21
95.02,C#3,0.43
95.44,B2E3,0.21
95.66,C#3,0.21
95.87,C3D3,0.21
96.09,E3,0.21
96.30,D3E3,0.21
96.51,E3,0.21
96.73,C3E3,0.21
96.94,E3,0.21
97.16,D3,0.21
97.37,D3,0.21
97.58,A#2F3,0.43
98.01,C#3,0.43
98.44,D#3,0.43
98.87,C#3,0.21
99.08,C#3,0.21
99.30,A2E3,0.21
99.51,E3,0.21
99.72,B2,0.21
99.94,E3,0.21
100.15,C#3E3,0.21
100.37,E3,0.21
100.58,B2,0.21
100.79,F3,0.21
101.01,A#2F#3,0.43
101.44,C#3G#3,0.43
101.86,D#3,0.43
102.29,C#3,0.21
102.51,C#3,0.21
102.72,D3E3,0.21
102.93,E3,0.21
103.15,B2E3,0.21
103.36,E3,0.21
