# 那个夏天
# Converted from SkyStudio format
# BPM: 320
# Total chords: 319

Time,Keys,Duration
0.00,C#3,0.19
0.19,D3,0.19
0.37,F#3,2.62
2.99,A#2,0.19
3.18,C#3,0.19
3.37,E3,2.62
5.98,A2,0.19
6.17,C3,0.19
6.36,C#3,1.12
7.48,B2,0.19
7.67,D3,0.19
7.85,F3,1.12
8.98,C3D#3F#3,1.50
10.47,C3D#3F#3,1.50
11.97,A2B2,0.37
12.34,F#3,0.37
12.72,F#3,0.37
13.09,F#3,0.37
13.46,F#3,0.37
13.84,F#3,0.37
14.21,F3,0.37
14.59,F#3,0.37
14.96,A3,0.37
15.33,F#3,0.37
15.71,F3,0.19
15.89,F3,2.06
17.95,A#2C#3,0.37
18.33,F3,0.37
18.70,F3,0.37
19.07,F3,0.37
19.45,F3,0.37
19.82,F3,0.37
20.20,E3,0.37
20.57,F3,0.37
20.94,G#3,0.37
21.32,F3,0.37
21.69,E3,0.37
22.07,D#3,0.37
22.44,E3,1.12
23.56,D3,0.19
23.75,D#3,0.19
23.94,C3E3,0.37
24.31,E3,0.37
24.68,E3,0.37
25.06,E3,0.37
25.43,E3,1.12
26.55,D3,0.19
26.74,D#3,0.19
26.93,B2E3,0.37
27.30,E3,0.37
27.68,E3,0.37
28.05,E3,0.37
28.42,D#3,0.37
28.80,E3,0.75
29.55,D3,0.19
29.73,D#3,0.19
29.92,A#2E3,0.37
30.29,E3,0.37
30.67,E3,0.37
31.04,E3,0.37
31.42,E3,0.37
31.79,G#3,0.75
32.54,E3,0.37
32.91,A2F3,1.50
34.41,A#2,1.50
35.90,B2,0.37
36.28,F#3,0.37
36.65,F#3,0.37
37.03,F#3,0.37
37.40,F#3,0.37
37.77,F#3,0.37
38.15,F3,0.37
38.52,F#3,0.37
38.90,A2A3,0.37
39.27,B2F#3,0.37
39.64,C#3F3,0.19
39.83,F3,0.19
40.02,D3,1.87
41.89,A#2,0.37
42.26,F3,0.37
42.64,F3,0.37
43.01,F3,0.37
43.38,F3,0.37
43.76,E3,0.37
44.13,F3,0.37
44.51,G#3,0.37
44.88,A2F3,0.37
45.25,A2E3,0.37
45.63,A#2D#3,0.37
46.00,C#3E3,1.50
47.50,D3,0.19
47.69,D#3,0.19
47.87,B2C3E3,0.37
48.25,E3,0.37
48.62,E3,0.37
48.99,E3,0.37
49.37,A#2C3E3,1.12
50.49,D3,0.19
50.68,D#3,0.19
50.86,B2C#3E3,0.37
51.24,E3,0.37
51.61,E3,0.37
51.99,E3,0.37
52.36,D#3,0.37
52.73,E3,0.75
53.48,D3,0.19
53.67,D#3,0.19
53.86,B2C#3E3,0.37
54.23,E3,0.37
54.60,E3,0.37
54.98,E3,0.37
55.35,E3,0.37
55.73,G#3,0.75
56.47,G3,0.19
56.66,F3,0.19
56.85,A#2C3F3,1.50
58.34,B2C#3F#3,0.75
59.09,C3G3,0.75
59.84,D3E3G#3,0.37
60.21,D3E3G#3,0.75
60.96,D3E3G#3,0.37
61.34,C#3D#3G#3,0.37
61.71,F3G3,0.37
62.08,E3F#3,0.37
62.46,D#3F3,0.37
62.83,D#3F3,0.37
63.21,E3F#3,0.19
63.39,D3E3,0.94
64.33,A#2C3,0.75
65.08,A2B2,0.37
65.45,B2F#3,0.19
65.64,C3G3,0.19
65.82,D3E3G#3,0.37
66.20,D3E3G#3,0.37
66.57,D3E3G#3,0.37
66.95,D3E3G#3,0.37
67.32,C#3D#3G#3,0.37
67.69,F3G3,0.37
68.07,E3F#3,0.37
68.44,D#3F3,0.37
68.82,D#3F3,0.37
69.19,E3F#3,1.87
71.06,E3,0.37
71.43,F3,0.37
71.81,C3E3F#3,0.75
72.56,D3,0.37
72.93,E3,1.87
74.80,E3F#3,0.75
75.55,G3,0.75
76.30,F3,0.75
77.04,E3,0.37
77.42,F3,0.37
77.79,C3E3F#3,0.75
78.54,D3,0.37
78.91,E3,1.87
80.78,A2C3D3,2.24
83.03,A3,0.37
83.40,A#3,0.37
83.78,C4,0.19
83.96,F#3,0.19
84.15,C4,0.19
84.34,F#3,0.19
84.52,C4,0.19
84.71,F#3,0.19
84.90,C4,0.19
85.08,F#3,0.19
85.27,A#3,0.75
86.02,F#3,0.37
86.39,G#3,0.37
86.77,A3,0.19
86.95,E3,0.19
87.14,A3,0.19
87.33,E3,0.19
87.52,G#3,0.19
87.70,E3,0.19
87.89,G3,0.19
88.08,E3,0.19
88.26,G#3,0.75
89.01,A2B2,0.37
89.39,C#3,0.37
89.76,C#3,0.37
90.13,C3,0.37
90.51,C3,0.37
90.88,A#2,0.37
91.26,C3,0.75
92.00,A2,0.37
92.38,C3,0.37
92.75,A#2C#3,1.12
93.87,B2D3,0.37
94.25,A#2C#3,0.75
95.00,A3D3,0.37
95.37,A#3D#3,0.19
95.56,C#3,0.19
95.74,A3C4E3F#3,0.19
95.93,C#3,0.19
96.12,A3C4E3F#3,0.19
96.31,C#3,0.19
96.49,A3C4E3F#3,0.19
96.68,C#3,0.19
96.87,A3C4E3F#3,0.19
97.05,C#3,0.19
97.24,A#3D#3F#3G#3,0.37
97.61,C3,0.37
97.99,B2F#3,0.37
98.36,C#3G#3,0.19
98.55,B2,0.19
98.74,A3D3E3,0.19
98.92,B2,0.19
99.11,A3D3,0.19
99.30,B2,0.19
99.48,C#3G#3,0.19
99.67,B2,0.19
99.86,C3G3,0.19
100.05,B2,0.19
100.23,C#3F3G#3,0.37
100.61,B2,0.37
100.98,C#3,0.37
101.35,C#3G#3,0.37
101.73,C#3E3G#3,0.37
102.10,C3G3,0.37
102.48,C3G3,0.37
102.85,A#2F3,0.37
103.22,C3D#3G3,0.37
103.60,C3,0.37
103.97,C#3G#3,0.37
104.35,C#3G#3,0.37
104.72,A3D3,0.37
105.09,C#3G#3,0.37
105.47,C#3G#3,0.37
105.84,C#3,0.37
106.22,A2,0.37
106.59,B2,0.37
106.96,A3D3,0.37
107.34,A#3D#3,0.19
107.53,C#3,0.19
107.71,A3C4E3F#3,0.19
107.90,C#3,0.19
108.09,A3C4E3F#3,0.19
108.27,C#3,0.19
108.46,A3C4E3F#3,0.19
108.65,C#3,0.19
108.83,A3C4E3F#3,0.19
109.02,C#3,0.19
109.21,A#3D#3F#3G#3,0.37
109.58,C3,0.37
109.96,B2F#3,0.37
110.33,C#3G#3,0.19
110.52,B2,0.19
110.70,A3D3E3,0.19
110.89,B2,0.19
111.08,A3D3,0.19
111.27,B2,0.19
111.45,C#3G#3,0.19
111.64,B2,0.19
111.83,C3G3,0.19
112.01,B2,0.19
112.20,C#3F3G#3,0.37
112.57,B2,0.37
112.95,C#3,0.37
113.32,C#3G#3,0.37
113.70,C#3E3G#3,0.37
114.07,C3G3,0.37
114.44,C3G3,0.37
114.82,A#2F3,0.37
115.19,C3D#3G3,0.37
115.57,C3,0.37
115.94,C#3G#3,0.37
116.31,C#3G#3,0.37
116.69,A3D3,0.37
117.06,C#3G#3,0.37
117.44,C#3G#3,0.37
117.81,C#3G#3,0.37
118.18,C#3G#3,0.37
118.56,B2,0.37
118.93,C#3,0.37
119.31,C#3G#3,0.19
119.49,A3D3,0.19
119.68,A2C4E3,0.37
120.05,A2,0.37
120.43,C#3,0.37
120.80,A2,0.37
121.18,A2,0.37
121.55,A2,0.37
121.92,C#3G#3,0.37
122.30,A2A3D3,0.37
122.67,A#2C4E3G3,0.37
123.05,A#2,0.37
123.42,C3,0.37
123.79,C#3,0.37
124.17,A2,0.37
124.54,C3E3,0.37
124.92,A2D#3,0.37
125.29,C#3E3,0.37
125.66,A2F3,0.37
126.04,A#2,0.37
126.41,C#3,0.37
126.79,D#3,0.37
127.16,F3,0.37
127.53,G#3,0.37
127.91,C4,0.37
128.28,A#3,0.37
128.66,C4F3G#3,0.75
129.40,A#2C#3,0.37
129.78,F#3,0.37
130.15,F#3,0.37
130.53,F3,0.37
130.90,F#3,0.37
131.27,A3,0.37
131.65,C3D#3F#3,0.37
132.02,A3,0.37
132.40,A3,0.37
132.77,A3,0.37
133.14,A3D3F3,0.37
133.52,G#3,0.37
133.89,A3,0.37
134.27,C4,0.37
134.64,A#3D#3F#3,0.75
135.39,A3,0.37
135.76,C4F3G#3,0.50
