# 那女孩对我说
# Converted from SkyStudio format
# BPM: 190
# Total chords: 108

Time,Keys,Duration
0.00,p,0.32
0.32,h,0.32
0.63,k,0.32
0.94,k,0.32
1.26,ho,0.32
1.57,l,0.63
2.21,l,0.32
2.52,hk,0.32
2.83,l,0.32
3.15,;k,0.32
3.46,;,0.32
3.78,jp,0.32
4.09,k,0.94
5.04,k,0.32
5.36,j,0.32
5.67,ip,0.32
5.99,p,0.32
6.30,ip,0.32
6.62,h,0.63
7.25,h,0.32
7.56,ip,0.32
7.88,h,0.32
8.19,ho,0.32
8.51,h,0.32
8.82,u,0.32
9.13,i,0.94
10.08,p,0.32
10.39,h,0.32
10.71,hk,0.32
11.03,n,0.32
11.34,;,0.32
11.65,l,0.63
12.29,l,0.32
12.60,k,0.32
12.91,jl,0.32
13.23,;,0.32
13.54,;,0.32
13.86,jp,0.32
14.18,k,0.94
15.12,hk,0.32
15.44,j,0.32
15.75,;,0.32
16.07,;,0.32
16.38,jp,0.32
16.70,h,0.63
17.32,h,0.32
17.64,j,0.32
17.95,k,0.32
18.27,m,0.32
18.59,;,0.32
18.90,n,0.32
19.21,;,0.32
19.53,l,0.63
20.16,u,0.32
20.48,p,0.32
20.79,ho,0.32
21.11,k,0.32
21.42,hk,0.32
21.73,h,0.32
22.05,l,0.63
22.68,l,0.32
23.00,k,0.32
23.31,l,0.32
23.62,;k,0.32
23.94,;,0.32
24.25,jp,0.32
24.57,k,0.94
25.52,k,0.32
25.83,j,0.32
26.14,p,0.32
26.46,p,0.32
26.77,p,0.32
27.09,ho,0.63
27.72,ho,0.32
28.04,p,0.32
28.35,h,0.32
28.66,h,0.32
28.98,i,0.32
29.30,u,0.32
29.61,iy,0.94
30.55,u,0.32
30.87,p,0.32
31.18,ho,0.32
31.50,k,0.32
31.82,n,0.32
32.13,;,0.32
32.45,l,0.63
33.08,jl,0.32
33.39,k,0.32
33.70,l,0.32
34.02,;,0.32
34.34,;,0.32
34.65,j,0.32
34.97,hk,0.94
35.91,k,0.32
36.23,j,0.32
36.54,;,0.32
36.85,;,0.32
37.17,jp,0.32
37.48,h,0.63
38.12,h,0.32
38.43,k,0.32
38.74,;,0.32
39.06,n,0.32
39.38,l,0.32
39.69,l,0.63
40.32,j,1.26
41.58,jk,0.50
