# 酒醉的蝴蝶 烛子ikina
# Converted from SkyStudio format
# BPM: 382
# Total chords: 150

Time,Keys,Duration
1.88,u,0.16
2.04,i,0.16
2.20,p,0.16
2.35,i,0.16
2.51,hi,0.63
3.14,i,0.63
3.77,i,0.63
4.40,hi,0.16
4.55,k,0.16
4.71,l,0.16
4.87,m,0.16
5.02,;y,0.16
5.18,m,0.16
5.34,;,0.31
5.65,y,0.63
6.28,y,0.63
6.91,,y,0.16
7.07,m,0.16
7.22,,,0.16
7.38,k,0.16
7.54,lu,0.63
8.16,u,0.63
8.79,u,0.63
9.42,lu,0.16
9.58,k,0.16
9.73,l,0.16
9.89,m,0.16
10.05,;i,0.16
10.21,m,0.16
10.36,;,0.31
10.68,i,0.63
11.30,i,0.63
11.93,i,0.63
12.56,hi,0.31
12.87,h,0.16
13.03,p,0.16
13.19,i,0.31
13.50,k,0.31
13.82,hi,0.63
14.44,i,0.63
15.07,;y,0.31
15.39,;,0.31
15.70,ly,0.31
16.01,k,0.31
16.33,hy,0.63
16.96,y,0.63
17.58,lu,0.31
17.90,l,0.16
18.05,k,0.16
18.21,lu,0.31
18.53,;,0.31
18.84,lu,0.63
19.47,u,0.63
20.10,ko,0.31
20.41,h,0.16
20.57,k,0.16
20.72,hp,0.31
21.04,p,0.31
21.35,iy,0.63
21.98,y,0.31
22.29,i,0.16
22.45,p,0.16
22.61,hi,0.31
22.92,h,0.16
23.08,p,0.16
23.24,i,0.31
23.55,k,0.31
23.86,hi,0.63
24.49,i,0.31
24.81,k,0.16
24.96,l,0.16
25.12,;y,0.31
25.43,;,0.31
25.75,ly,0.31
26.06,m,0.31
26.38,;y,0.63
27.00,y,0.31
27.32,;,0.16
27.48,m,0.16
27.63,,u,0.31
27.95,,,0.31
28.26,my,0.31
28.57,;,0.31
28.89,lu,0.63
29.52,h,0.31
29.83,k,0.16
29.99,l,0.16
30.14,;j,0.47
30.61,m,0.16
30.77,;p,0.31
31.09,p,0.31
31.40,hi,0.63
32.03,i,0.63
32.66,;h,0.31
32.97,h,0.31
33.28,hk,0.31
33.60,;,0.31
33.91,;h,0.63
34.54,j,0.63
35.17,km,0.31
35.48,,,0.31
35.80,,k,0.31
36.11,m,0.31
36.42,;k,0.63
37.05,k,0.31
37.37,;,0.16
37.52,m,0.16
37.68,,u,0.31
37.99,,,0.16
38.15,,,0.16
38.31,mu,0.31
38.62,;,0.31
38.94,lu,0.63
39.56,u,0.63
40.19,im,0.31
40.51,;,0.16
40.66,m,0.16
40.82,ik,0.31
41.13,l,0.16
41.29,k,0.16
41.45,hi,0.63
42.08,i,0.63
42.70,;h,0.31
43.02,h,0.31
43.33,hk,0.31
43.65,;,0.31
43.96,;h,0.63
44.59,j,0.63
45.22,km,0.31
45.53,,,0.31
45.84,,k,0.31
46.16,m,0.31
46.47,;k,0.63
47.10,k,0.31
47.41,;,0.16
47.57,m,0.16
47.73,,u,0.31
48.04,,,0.16
48.20,,,0.16
48.36,mu,0.31
48.67,;,0.31
48.98,lu,0.63
49.61,u,0.63
50.24,im,0.31
50.55,;,0.16
50.71,m,0.16
50.87,ik,0.31
51.18,l,0.16
51.34,k,0.16
51.50,hi,0.50
