# 野蜂飞舞
Flight of the Bumble-bee
# Converted from SkyStudio format
# BPM: 614
# Total chords: 528

Time,Keys,Duration
0.00,B2,0.10
0.10,B2,0.10
0.19,A#2,0.10
0.29,A#2,0.10
0.39,A2,0.10
0.48,C3,0.10
0.58,B2,0.10
0.68,A#2,0.10
0.78,B2,0.10
0.87,B2,0.10
0.97,A#2,0.10
1.07,A#2,0.10
1.16,A2,0.10
1.26,A2,0.10
1.36,A#2,0.10
1.46,A#2,0.10
1.55,B2,0.10
1.65,B2,0.10
1.75,A#2,0.10
1.84,A#2,0.10
1.94,A2,0.10
2.04,C3,0.10
2.13,B2,0.10
2.23,A#2,0.10
2.33,B2,0.10
2.42,B2,0.10
2.52,A#2,0.10
2.62,A#2,0.10
2.72,A2,0.10
2.81,A2,0.10
2.91,A#2,0.10
3.01,A#2,0.10
3.10,B2,0.10
3.20,B2,0.10
3.30,A#2,0.10
3.40,A2,0.10
3.49,A#2,0.10
3.59,A2,0.10
3.69,A2,0.10
3.78,D#3,0.10
3.88,A2,0.10
3.98,A2,0.10
4.07,A#2,0.10
4.17,A#2,0.10
4.27,B2,0.10
4.37,C3,0.10
4.46,B2,0.10
4.56,A#2,0.10
4.66,B2,0.10
4.75,B2,0.10
4.85,A#2,0.10
4.95,A2,0.10
5.04,A#2,0.10
5.14,A2,0.10
5.24,A2,0.10
5.33,A#3,0.10
5.43,A2,0.10
5.53,A2,0.10
5.63,A#2,0.10
5.72,A#2,0.10
5.82,B2,0.10
5.92,C3,0.10
6.01,A2,0.10
6.11,C#3,0.10
6.21,D3,0.10
6.30,D3,0.10
6.40,C#3,0.10
6.50,C3,0.10
6.60,C3,0.10
6.69,D#3,0.10
6.79,A#2,0.10
6.89,C#3,0.10
6.98,D3,0.10
7.08,D3,0.10
7.18,C#3,0.10
7.28,C#3,0.10
7.37,C3,0.10
7.47,C3,0.10
7.57,C#3,0.10
7.66,C#3,0.10
7.76,D3,0.10
7.86,D3,0.10
7.95,C#3,0.10
8.05,C3,0.10
8.15,D#3,0.10
8.24,D3,0.10
8.34,C#3,0.10
8.44,D3,0.10
8.54,D3,0.10
8.63,C#3,0.10
8.73,C#3,0.10
8.83,C3,0.10
8.92,C3,0.10
9.02,C#3,0.10
9.12,C#3,0.10
9.21,D3,0.10
9.31,D3,0.10
9.41,C#3,0.10
9.51,C3,0.10
9.60,C#3,0.10
9.70,C3,0.10
9.80,C3,0.10
9.89,B2,0.10
9.99,C3,0.10
10.09,C3,0.10
10.19,C#3,0.10
10.28,C#3,0.10
10.38,D3,0.10
10.48,D#3,0.10
10.57,D3,0.10
10.67,C#3,0.10
10.77,D3,0.10
10.86,D3,0.10
10.96,C#3,0.10
11.06,C3,0.10
11.15,C#3,0.10
11.25,C3,0.10
11.35,C3,0.10
11.45,B2,0.10
11.54,C3,0.10
11.64,C3,0.10
11.74,C#3,0.10
11.83,C#3,0.10
11.93,D3,0.10
12.03,D#3,0.10
12.12,D3,0.10
12.22,C#3,0.10
12.32,D3,0.10
12.42,A3,0.10
12.51,A3,0.10
12.61,A3,0.10
12.71,A3,0.10
12.80,A3,0.10
12.90,A3,0.10
13.00,A3,0.10
13.10,A#3,0.10
13.19,A3,0.10
13.29,A#3,0.10
13.39,G#3,0.10
13.48,A#3,0.10
13.58,A3,0.10
13.68,A#3,0.10
13.77,G#3,0.10
13.87,A3,0.10
13.97,A3,0.10
14.06,A3,0.10
14.16,A3,0.10
14.26,A3,0.10
14.36,A3,0.10
14.45,A3,0.10
14.55,A3,0.10
14.65,A#3,0.10
14.74,A3,0.10
14.84,A#3,0.10
14.94,G#3,0.10
15.04,A#3,0.10
15.13,A3,0.10
15.23,A#3,0.10
15.33,G#3,0.10
15.42,A3,0.10
15.52,A#3,0.10
15.62,A3,0.10
15.71,G#3,0.10
15.81,A3,0.10
15.91,A#3,0.10
16.00,A3,0.10
16.10,G#3,0.10
16.20,A3,0.10
16.30,A#3,0.10
16.39,A3,0.10
16.49,G#3,0.10
16.59,A3,0.10
16.68,A#3,0.10
16.78,A3,0.10
16.88,G#3,0.10
16.98,A3,0.10
17.07,A#3,0.10
17.17,A#3,0.10
17.27,A2,0.10
17.36,A2,0.10
17.46,A2,0.10
17.56,A#3,0.10
17.65,A#3,0.10
17.75,A3,0.10
17.85,A#3,0.10
17.95,A#3,0.10
18.04,A2,0.10
18.14,A2,0.10
18.24,A#2,0.10
18.33,A#2,0.10
18.43,B2,0.10
18.53,A#2,0.10
18.62,A#2,0.10
18.72,A#2,0.10
18.82,A#2,0.10
18.91,A#2,0.10
19.01,A#2,0.10
19.11,A#2,0.10
19.21,A#2,0.10
19.30,B2,0.10
19.40,A#2,0.10
19.50,B2,0.10
19.59,A2,0.10
19.69,B2,0.10
19.79,A#2,0.10
19.89,B2,0.10
19.98,A2,0.10
20.08,A#2,0.10
20.18,A#2,0.10
20.27,A#2,0.10
20.37,A#2,0.10
20.47,A#2,0.10
20.56,A#2,0.10
20.66,A#2,0.10
20.76,A#2,0.10
20.86,B2,0.10
20.95,A#2,0.10
21.05,B2,0.10
21.15,A2,0.10
21.24,B2,0.10
21.34,A#2,0.10
21.44,B2,0.10
21.53,A2,0.10
21.63,A#2,0.10
21.73,B2,0.10
21.82,A#2,0.10
21.92,A2,0.10
22.02,A#2,0.10
22.12,B2,0.10
22.21,A#2,0.10
22.31,A2,0.10
22.41,A#2,0.10
22.50,B2,0.10
22.60,A#2,0.10
22.70,A2,0.10
22.80,A#2,0.10
22.89,B2,0.10
22.99,A#2,0.10
23.09,A2,0.10
23.18,A#2,0.10
23.28,B2,0.10
23.38,B2,0.10
23.47,C3,0.10
23.57,C3,0.10
23.67,C3,0.10
23.77,B2,0.10
23.86,B2,0.10
23.96,A#2,0.10
24.06,B2,0.10
24.15,B2,0.10
24.25,C3,0.10
24.35,C3,0.10
24.44,C3,0.10
24.54,B2,0.10
24.64,B2,0.10
24.73,F3,0.10
24.83,E3,0.10
24.93,E3,0.10
25.03,D#3,0.10
25.12,D#3,0.10
25.22,F#3,0.10
25.32,F3,0.10
25.41,E3,0.10
25.51,F3,0.10
25.61,E3,0.10
25.70,E3,0.10
25.80,D#3,0.10
25.90,D3,0.10
26.00,D#3,0.10
26.09,E3,0.10
26.19,E3,0.10
26.29,F3,0.10
26.38,E3,0.10
26.48,E3,0.10
26.58,D#3,0.10
26.68,E3,0.10
26.77,D#3,0.10
26.87,D#3,0.10
26.97,D3,0.10
27.06,D#3,0.10
27.16,D#3,0.10
27.26,E3,0.10
27.35,E3,0.10
27.45,E3,0.10
27.55,E3,0.10
27.64,F3,0.10
27.74,F3,0.10
27.84,F#3,0.10
27.94,F#3,0.10
28.03,F3,0.10
28.13,E3,0.10
28.23,F3,0.10
28.32,E3,0.10
28.42,E3,0.10
28.52,D#3,0.10
28.61,E3,0.10
28.71,D#3,0.10
28.81,D#3,0.10
28.91,D3,0.10
29.00,D3,0.10
29.10,C#3,0.10
29.20,C3,0.10
29.29,C3,0.10
29.39,B2,0.10
29.49,C3,0.10
29.59,B2,0.10
29.68,A#2,0.10
29.78,B2,0.10
29.88,C3,0.10
29.97,B2,0.10
30.07,A#2,0.10
30.17,B2,0.10
30.26,C3,0.10
30.36,B2,0.10
30.46,A#2,0.10
30.55,B2,0.10
30.65,C3,0.10
30.75,B2,0.10
30.85,A#2,0.10
30.94,B2,0.10
31.04,C3,0.10
31.14,B2,0.10
31.23,A#2,0.10
31.33,B2,0.10
31.43,C3,0.10
31.52,B2,0.10
31.62,A#2,0.10
31.72,B2,0.10
31.82,C3,0.10
31.91,B2,0.10
32.01,A#2,0.10
32.11,B2,0.10
32.20,C3,0.10
32.30,B2,0.10
32.40,A#2,0.10
32.49,F#3,0.10
32.59,E3,0.10
32.69,D3,0.10
32.79,C3,0.10
32.88,D3,0.10
32.98,E3,0.10
33.08,F#3,0.10
33.17,F#3,0.10
33.27,E3,0.10
33.37,E3,0.10
33.47,D3,0.10
33.56,C3,0.10
33.66,D3,0.10
33.76,E3,0.10
33.85,F#3,0.10
33.95,B2,0.10
34.05,B2,0.10
34.14,B2,0.10
34.24,B2,0.10
34.34,D3,0.10
34.44,D3,0.10
34.53,C#3,0.10
34.63,C3,0.10
34.73,C3,0.10
34.82,C3,0.10
34.92,C#3,0.10
35.02,C#3,0.10
35.11,D3,0.10
35.21,D#3,0.10
35.31,E3,0.10
35.41,F3,0.10
35.50,F#3,0.10
35.60,G3,0.10
35.70,F#3,0.10
35.79,F3,0.10
35.89,B2,0.10
35.99,B2,0.10
36.08,A#2,0.10
36.18,A#2,0.10
36.28,A2,0.10
36.38,C3,0.10
36.47,B2,0.10
36.57,A#2,0.10
36.67,B2,0.10
36.76,B2,0.10
36.86,A#2,0.10
36.96,A#2,0.10
37.05,A2,0.10
37.15,A2,0.10
37.25,A#2,0.10
37.34,A#2,0.10
37.44,B2,0.10
37.54,B2,0.10
37.64,A#2,0.10
37.73,A#2,0.10
37.83,A2,0.10
37.93,C3,0.10
38.02,B2,0.10
38.12,A#2,0.10
38.22,B2,0.10
38.31,B2,0.10
38.41,A#2,0.10
38.51,A#2,0.10
38.61,A2,0.10
38.70,A2,0.10
38.80,A#2,0.10
38.90,A#2,0.10
38.99,F#3,0.10
39.09,C#3,0.10
39.19,D3,0.10
39.28,D3,0.10
39.38,D#3,0.10
39.48,E3,0.10
39.58,E3,0.10
39.67,F3,0.10
39.77,E3,0.10
39.87,E3,0.10
39.96,D#3,0.10
40.06,E3,0.10
40.16,D#3,0.10
40.26,D#3,0.10
40.35,D3,0.10
40.45,C#3,0.10
40.55,D3,0.10
40.64,D3,0.10
40.74,D#3,0.10
40.84,E3,0.10
40.93,E3,0.10
41.03,F3,0.10
41.13,F3,0.10
41.23,B2,0.10
41.32,C3,0.10
41.42,C#3,0.10
41.52,D3,0.10
41.61,D#3,0.10
41.71,E3,0.10
41.81,F3,0.10
41.90,F#3,0.10
42.00,F#3,0.10
42.10,G3,0.10
42.20,F#3,0.10
42.29,F3,0.10
42.39,F#3,0.10
42.49,G3,0.10
42.58,G#3,0.10
42.68,G#3,0.10
42.78,A3,0.10
42.87,A3,0.10
42.97,G#3,0.10
43.07,G3,0.10
43.16,G#3,0.10
43.26,G3,0.10
43.36,G3,0.10
43.46,F#3,0.10
43.55,F#3,0.10
43.65,F3,0.10
43.75,E3,0.10
43.84,E3,0.10
43.94,A#3,0.10
44.04,A#3,0.10
44.13,D3,0.10
44.23,D3,0.10
44.33,C#3,0.10
44.43,C3,0.10
44.52,C#3,0.10
44.62,C3,0.10
44.72,C3,0.10
44.81,B2,0.10
44.91,B2,0.10
45.01,A#2,0.10
45.10,A#2,0.10
45.20,A2,0.10
45.30,D#3,0.10
45.40,D#3,0.10
45.49,A3,0.10
45.59,A#3,0.10
45.69,A3,0.10
45.78,G#3,0.10
45.88,A3,0.10
45.98,A#3,0.10
46.08,A3,0.10
46.17,G#3,0.10
46.27,A3,0.10
46.37,A#3,0.10
46.46,A3,0.10
46.56,G#3,0.10
46.66,A3,0.10
46.75,A3,0.10
46.85,A3,0.10
46.95,A3,0.10
47.05,B2,0.10
47.14,C3,0.10
47.24,B2,0.10
47.34,A#2,0.10
47.43,B2,0.10
47.53,C3,0.10
47.63,B2,0.10
47.72,A#2,0.10
