# 铃儿响叮当
# Converted from SkyStudio format
# BPM: 720
# Total chords: 277

Time,Keys,Duration
0.00,A2C#3,0.33
0.33,B2C#3F#3,0.33
0.66,C#3F3,0.33
1.00,B2C#3E3,0.33
1.33,A2C#3,0.33
1.66,B2C#3,0.33
1.99,C#3,0.33
2.32,B2C#3,0.17
2.49,C#3,0.17
2.66,A2C#3,0.33
2.99,B2C#3F#3,0.33
3.32,C#3F3,0.33
3.65,B2C#3E3,0.33
3.98,C3D3,0.33
4.32,D3E3,0.33
4.65,A2,0.33
4.98,D3E3,0.17
5.15,D3,0.17
5.31,C3D3,0.33
5.64,D3E3G3,0.33
5.98,A2F#3,0.33
6.31,A2D3F3,0.33
6.64,C#3D#3,0.33
6.97,A#2D#3,0.33
7.30,A#2,0.33
7.64,A#2D#3,0.33
7.97,C#3G#3,0.33
8.30,A#2D#3G#3,0.33
8.63,A#2G3,0.33
8.96,A#2D#3F3,0.33
9.30,A2F#3,0.33
9.63,B2C#3,0.33
9.96,C#3,0.33
10.29,B2C#3,0.17
10.46,C#3,0.17
10.62,A2C#3,0.33
10.96,B2C#3F#3,0.33
11.29,C#3F3,0.33
11.62,B2C#3E3,0.33
11.95,A2C#3,0.33
12.28,B2C#3,0.33
12.62,C#3,0.33
12.95,B2C#3,0.17
13.11,C#3,0.17
13.28,A2C#3,0.33
13.61,B2C#3F#3,0.33
13.94,C#3F3,0.33
14.28,B2C#3E3,0.33
14.61,C3D3,0.33
14.94,D3E3,0.33
15.27,A2,0.33
15.60,D3E3,0.17
15.77,D3,0.17
15.94,C3D3,0.33
16.27,D3E3G3,0.33
16.60,A2F#3,0.33
16.93,A2D3F3,0.33
17.26,C#3G#3,0.33
17.60,D#3F3G#3,0.33
17.93,A#2G#3,0.33
18.26,D#3F3,0.33
18.59,A3C#3,0.33
18.92,D#3F3G#3,0.33
19.26,F3G3,0.33
19.59,D#3F3,0.33
19.92,A2E3,0.33
20.25,B2C#3,0.33
20.58,C#3,0.33
20.92,B2C#3,0.33
21.25,A2F#3,0.33
21.58,B2C#3F#3,0.33
21.91,C#3F#3,0.33
22.24,B2C#3,0.33
22.58,A2F#3,0.33
22.91,B2C#3F#3,0.33
23.24,C#3F#3,0.33
23.57,B2C#3,0.33
23.90,A2F#3,0.33
24.24,B2C#3G#3,0.33
24.57,C#3E3,0.33
24.90,B2C#3,0.17
25.07,F3,0.17
25.23,A2F#3,0.33
25.56,B2C#3,0.33
25.90,C#3,0.33
26.23,B2C#3,0.33
26.56,C3G3,0.33
26.89,D3E3G3,0.33
27.22,A2G3,0.33
27.56,D3E3,0.33
27.89,C3G3,0.33
28.22,D3E3F#3,0.33
28.55,A2F#3,0.33
28.88,D3E3,0.33
29.22,C#3F#3,0.33
29.55,A#2D#3F3,0.33
29.88,A#2F3,0.33
30.21,A#2D3E3,0.33
30.54,C#3F3,0.33
30.88,D#3F3,0.33
