# 1613570546135
# Converted from SkyStudio format
# BPM: 521
# Total chords: 645

Time,Keys,Duration
0.00,A2D3,0.46
0.46,B2E3F#3,0.46
0.92,D3E3F#3,0.23
1.15,D#3F3,0.23
1.38,E3F#3,0.23
1.61,A3F#3,0.23
1.84,B2D#3G#3,0.46
2.30,D#3D3F#3,0.46
2.76,C#3D#3G#3,0.92
3.68,A3C3E3,0.23
3.91,A2,0.23
4.14,C#3E3,0.23
4.37,D3,0.23
4.60,C#3E3,0.46
5.06,F3,0.46
5.52,A2E3F#3,0.23
5.75,C#3,0.46
6.21,F3,0.12
6.33,E3,0.12
6.44,D#3,0.23
6.67,C#3,0.23
6.90,A#2,0.23
7.13,B2,0.23
7.36,B2D3,0.46
7.82,A2B2,0.46
8.28,A2B2,0.23
8.51,A#2D#3,0.23
8.74,A2B2,0.23
8.97,B2D3,0.23
9.20,C#3D#3,0.46
9.66,B2C#3,0.46
10.12,C#3D#3,0.92
11.04,A2B2C3D3,0.46
11.50,C#3,0.23
11.73,D3,0.23
11.96,A2,0.23
12.19,C#3,0.23
12.42,D3,0.23
12.65,E3,0.23
12.88,A2C3D3E3G#3,1.26
14.14,A3,0.23
14.38,A#3,0.23
14.61,C4D3,0.46
15.06,B2,0.46
15.53,C4D3E3,0.23
15.76,A#3,0.23
15.98,A3,0.23
16.21,F#3,0.23
16.45,B2G#3,0.46
16.91,D#3G#3,0.23
17.14,G#3,0.23
17.36,B2C#3,0.46
17.82,G#3,0.23
18.05,E3,0.23
18.29,A3C3,0.46
18.75,A2,0.46
19.20,A3D3,0.23
19.43,D#3G#3,0.23
19.66,A2G3,0.23
19.89,C#3F#3,0.23
20.12,A2F#3,0.46
20.59,C#3F#3,0.23
20.82,F#3,0.23
21.05,C#3,0.46
21.50,B2,0.23
21.73,F#3,0.23
21.96,A#2G3,0.23
22.20,F#3,0.23
22.43,D3F3,0.23
22.66,F#3,0.23
22.89,A2G3,0.23
23.11,F#3,0.23
23.34,D3G3,0.23
23.57,A#2C4F3,0.23
23.80,A#3D3,0.46
24.27,B2C4,0.23
24.50,A#3,0.23
24.73,A2,0.46
25.18,A#2A3,0.23
25.41,A#3,0.23
25.64,C3C4,0.46
26.11,A2A3,0.23
26.34,A#3C#3,0.23
26.57,A2C4,0.23
26.80,C#3,0.23
27.02,A#3,0.23
27.25,A3B2,0.23
27.48,A#3B2,0.46
27.95,D#3,0.46
28.41,B2C#3D#3,0.46
28.86,D3,0.23
29.09,D#3,0.23
29.32,D3E3,0.46
29.79,B2,0.46
30.25,D3E3,0.23
30.48,D#3,0.23
30.70,A2D3,0.23
30.93,B2,0.23
31.16,B2C#3,0.46
31.62,A2C#3,0.23
31.86,C#3,0.23
32.09,B2,0.46
32.55,C#3,0.23
32.77,A2,0.23
33.01,C3D3,0.46
33.47,A2,0.46
33.92,C3D3,0.23
34.16,C#3,0.23
34.38,A2C3,0.23
34.62,B2,0.23
34.84,A2B2,0.46
35.30,B2C#3,0.23
35.53,B2,0.23
35.77,A2,0.46
36.23,B2,0.23
36.45,B2,0.23
36.69,A#2C3,0.23
36.91,B2,0.23
37.15,A#2D3,0.23
37.38,B2,0.23
37.60,A#2C3,0.23
37.84,B2,0.23
38.06,C3,0.23
38.30,F3,0.23
38.52,A2D#3,0.46
38.98,B2E3,0.23
39.22,D#3,0.23
39.45,D3,0.46
39.91,A2,0.46
40.37,A2C3D3,0.46
40.83,A2,0.23
41.05,C3,0.23
41.28,A2C3D3F3,0.46
41.74,C3D3,0.46
42.20,B2C#3D#3,1.61
43.81,B2D3,0.23
44.05,B2,0.23
44.27,D3E3F#3,0.23
44.51,A2,0.23
44.73,B2F#3,0.23
44.97,F3,0.23
45.20,A2F#3,0.23
45.42,A3,0.23
45.66,B2D#3G#3,0.23
45.88,D#3,0.23
46.12,B2F#3,0.23
46.34,C#3,0.23
46.58,A2D#3G#3,0.46
47.03,B2,0.46
47.49,A3C3D3E3,0.23
47.73,A2,0.23
47.95,C3E3,0.23
48.19,D3,0.23
48.41,A2D3,0.23
48.65,D#3,0.23
48.88,C3E3,0.23
49.10,G3,0.23
49.34,A2E3F#3,0.23
49.56,C#3,0.23
49.80,A2F3,0.23
50.02,E3,0.23
50.26,B2C#3D#3,0.46
50.72,B2,0.46
51.17,A#2C3D3E3,0.23
51.41,D3,0.23
51.63,A#2D3,0.23
51.87,C3D#3,0.23
52.09,D3E3,0.23
52.33,E3,0.23
52.55,C3E3,0.23
52.78,G3,0.23
53.02,D#3F#3,0.23
53.24,C3,0.12
53.36,D#3F#3,0.12
53.48,D#3,0.23
53.70,A2D#3,0.23
53.94,C3F3,0.46
54.40,A#2,0.46
54.85,B2C#3D#3F#3,0.46
55.31,B2,0.46
55.77,B2D3,0.46
56.23,B2C#3D#3,0.69
56.92,B2E3,0.23
57.16,C#3D#3,0.23
57.38,A2D3,0.23
57.62,B2D#3,0.23
57.84,A2E3,0.23
58.08,C#3F3,0.23
58.30,B2,0.23
58.53,B2D3,0.23
58.77,B2,0.23
58.99,D3E3F#3,0.23
59.23,A2,0.23
59.45,B2F#3,0.23
59.69,F3,0.23
59.91,A2F#3,0.23
60.15,A3,0.23
60.38,B2D#3G#3,0.23
60.60,D#3,0.23
60.84,B2F#3,0.23
61.06,C#3,0.23
61.30,A2D#3G#3,0.46
61.76,B2,0.46
62.22,A3C3D3E3,0.23
62.45,A2,0.23
