# 阿拉斯加海湾
# Converted from SkyStudio format
# BPM: 250
# Total chords: 426

Time,Keys,Duration
0.96,;my,0.48
1.44,p,0.48
1.92,;imy,0.48
2.40,p,0.48
2.88,jlm,0.48
3.36,p,0.48
3.84,jlmu,0.48
4.32,p,0.48
4.80,;hk,0.48
5.28,i,0.48
5.76,;hky,0.48
6.24,i,0.48
6.72,jlp,0.48
7.20,u,0.48
7.68,jlp,0.48
8.16,u,0.48
8.64,hko,0.48
9.12,y,0.48
9.60,hko,0.48
10.08,y,0.48
10.56,jp,0.48
11.04,u,0.48
11.52,jp,0.48
12.00,u,0.48
12.48,kpy,0.48
12.96,p,0.48
13.44,ikpy,0.48
13.92,p,0.48
14.40,y,0.48
14.88,p,0.48
15.36,iy,0.48
15.84,;p,0.48
16.32,my,0.48
16.80,p,0.24
17.04,;,0.24
17.28,k,0.48
17.76,p,0.48
18.24,u,0.24
18.48,m,0.24
18.72,mp,0.24
18.96,m,0.24
19.20,jm,0.24
19.44,;,0.24
19.68,;p,0.24
19.92,l,0.24
20.16,ly,0.24
20.40,;,0.24
20.64,i,0.24
20.88,;,0.24
21.12,h,0.48
21.60,i,0.48
22.08,u,0.24
22.32,m,0.24
22.56,mp,0.24
22.80,m,0.24
23.04,lm,0.24
23.28,;,0.24
23.52,;p,0.24
23.76,l,0.24
24.00,ly,0.24
24.24,k,0.24
24.48,o,0.24
24.72,k,0.24
24.96,h,0.48
25.44,ko,0.24
25.68,k,0.24
25.92,lu,0.48
26.40,;p,0.24
26.64,l,0.24
26.88,j,0.24
27.12,k,0.24
27.36,p,0.24
27.60,;,0.24
27.84,y,0.48
28.32,p,0.48
28.80,k,0.48
29.28,p,0.48
29.76,y,0.48
30.24,p,0.48
30.72,k,0.48
31.20,;p,0.48
31.68,my,0.48
32.16,p,0.24
32.40,;,0.24
32.64,k,0.48
33.12,p,0.48
33.60,u,0.24
33.84,m,0.24
34.08,mp,0.24
34.32,m,0.24
34.56,jm,0.24
34.80,;,0.24
35.04,;p,0.24
35.28,l,0.24
35.52,ly,0.24
35.76,;,0.24
36.00,i,0.24
36.24,;,0.24
36.48,h,0.48
36.96,i,0.48
37.44,u,0.24
37.68,m,0.24
37.92,mp,0.24
38.16,m,0.24
38.40,lm,0.24
38.64,;,0.24
38.88,;p,0.24
39.12,l,0.24
39.36,ly,0.24
39.60,k,0.24
39.84,o,0.24
40.08,k,0.24
40.32,h,0.48
40.80,ko,0.24
41.04,k,0.24
41.28,lu,0.48
41.76,;p,0.24
42.00,l,0.24
42.24,j,0.24
42.48,k,0.24
42.72,p,0.24
42.96,k,0.24
43.20,y,0.48
43.68,p,0.48
44.16,k,0.48
44.64,p,0.48
45.12,y,0.48
45.60,p,0.48
46.08,/k,0.48
46.56,.p,0.48
47.04,,o,0.48
47.52,my,0.24
47.76,,,0.24
48.00,ho,0.48
48.48,my,0.24
48.72,,,0.24
48.96,p,0.48
49.44,mu,0.24
49.68,;,0.24
49.92,jp,0.48
50.40,lu,0.24
50.64,;,0.24
50.88,y,0.48
51.36,p,0.48
51.84,iy,0.48
52.32,p,0.48
52.80,y,0.48
53.28,p,0.48
53.76,/iy,0.48
54.24,.p,0.48
54.72,,o,0.48
55.20,my,0.24
55.44,,,0.24
55.68,ho,0.48
56.16,my,0.24
56.40,,,0.24
56.64,p,0.48
57.12,mu,0.24
57.36,;,0.24
57.60,jp,0.48
58.08,lu,0.24
58.32,;,0.24
58.56,y,0.48
59.04,p,0.48
59.52,iy,0.48
60.00,p,0.48
60.48,y,0.48
60.96,p,0.24
61.20,;,0.24
61.44,/i,0.48
61.92,.ij,0.48
62.40,,o,0.48
62.88,my,0.24
63.12,,,0.24
63.36,ho,0.48
63.84,my,0.24
64.08,,,0.24
64.32,p,0.48
64.80,mu,0.24
65.04,m,0.24
65.28,jp,0.24
65.52,;,0.24
65.76,u,0.24
66.00,;,0.24
66.24,;y,0.24
66.48,m,0.24
66.72,kp,0.48
67.20,j,0.24
67.44,;,0.24
67.68,pu,0.24
67.92,l,0.24
68.16,hk,0.48
68.64,i,0.48
69.12,hk,0.48
69.60,il,0.24
69.84,;,0.24
70.08,no,0.48
70.56,ny,0.24
70.80,n,0.24
71.04,ho,0.48
71.52,my,0.48
72.00,mp,0.48
72.48,;u,0.48
72.96,jlp,0.24
73.20,k,0.24
73.44,u,0.24
73.68,k,0.24
73.92,y,0.48
74.40,p,0.48
74.88,iy,0.48
75.36,p,0.48
75.84,y,0.48
76.32,p,0.48
76.80,iy,0.48
77.28,p,0.48
77.76,kno,0.48
78.24,y,0.48
78.72,hkno,0.48
79.20,y,0.48
79.68,lmp,0.48
80.16,u,0.48
80.64,jlmp,0.48
81.12,u,0.48
81.60,kpy,0.48
82.08,p,0.48
82.56,ikpy,0.48
83.04,p,0.48
83.52,y,0.96
84.48,i,0.48
84.96,;j,0.48
85.44,kno,0.48
85.92,y,0.48
86.40,hkno,0.48
86.88,y,0.48
87.36,lmp,0.48
87.84,u,0.48
88.32,jlmp,0.48
88.80,u,0.48
89.28,kpy,0.48
89.76,p,0.48
90.24,ikpy,0.48
90.72,p,0.48
91.20,y,0.48
91.68,p,0.48
92.16,iy,0.48
92.64,;kp,0.48
93.12,kmy,0.48
93.60,p,0.24
93.84,;k,0.24
94.08,k,0.48
94.56,p,0.48
95.04,u,0.24
95.28,jm,0.24
