# 陈奕迅 - 心的距离
# Converted from SkyStudio format
# BPM: 300
# Total chords: 343

Time,Keys,Duration
2.80,C#3,0.40
3.20,A2C3G3,0.80
4.00,A2C3,0.40
4.40,F#3,0.20
4.60,F#3,0.20
4.80,A2C3,0.80
5.60,A2C3,0.40
6.00,C#3,0.40
6.40,A2B2F#3,0.20
6.60,F3,0.20
6.80,F#3,0.20
7.00,F3,0.20
7.20,A2B2F#3,0.40
7.60,G#3,0.20
7.80,G#3,0.20
8.00,A2B2,0.20
8.20,F3,0.60
8.80,A2B2,0.60
9.40,D#3,0.20
9.60,A#2A2E3,0.40
10.00,D#3,0.20
10.20,E3,0.20
10.40,A#2A2,0.20
10.60,F3,0.40
11.00,F#3,0.20
11.20,A#2A2,0.20
11.40,D#3,0.40
11.80,C#3,0.20
12.00,A#2A2,0.20
12.20,B2,0.40
12.60,D#3,0.20
12.80,A2D#3,0.40
13.20,B2E3,0.20
13.40,D3,0.20
13.60,C#3,0.40
14.00,B2,0.40
14.40,E3,0.80
15.20,B2,0.40
15.60,C#3,0.40
16.00,A2C3G3,0.80
16.80,A2C3,0.40
17.20,F#3,0.20
17.40,F#3,0.20
17.60,A2C3,0.80
18.40,A2C3,0.40
18.80,C#3,0.40
19.20,A2B2F#3,0.20
19.40,F3,0.20
19.60,F#3,0.20
19.80,F3,0.20
20.00,A2B2F#3,0.40
20.40,G#3,0.20
20.60,G#3,0.20
20.80,A2B2,0.20
21.00,F3,0.60
21.60,A2B2,0.60
22.20,D#3,0.20
22.40,A#2A2E3,0.40
22.80,D#3,0.20
23.00,E3,0.20
23.20,A#2A2,0.40
23.60,A3,0.20
23.80,G#3,0.20
24.00,A#2A2,0.20
24.20,F#3,0.40
24.60,F#3,0.20
24.80,A#2A2,0.20
25.00,F#3,0.40
25.40,F#3,0.20
25.60,A#2C3F3,0.80
26.40,A#2C3,0.40
26.80,E3,0.20
27.00,D3,0.20
27.20,B2C#3,0.80
28.00,B2C#3,0.40
28.40,C#3,0.40
28.80,A2C3E3,0.40
29.20,E3,0.20
29.40,D#3,0.20
29.60,A2C3E3,0.40
30.00,E3,0.20
30.20,D#3,0.20
30.40,A2C3E3,0.40
30.80,F3,0.20
31.00,F#3,0.20
31.20,A2C3,0.20
31.40,E3,0.40
