# 难生恨
# Converted from SkyStudio format
# BPM: 280
# Total chords: 493

Time,Keys,Duration
0.64,h,0.43
1.07,k,0.43
1.50,ly,0.43
1.93,o,0.43
2.35,hl,0.43
2.78,ko,0.43
3.21,lu,0.43
3.64,;p,0.43
4.07,jl,0.43
4.49,kp,0.43
4.92,i,0.43
5.35,h,0.43
5.78,k,0.43
6.21,;,0.43
6.63,,,0.43
7.06,;,0.43
7.49,h,0.43
7.92,k,0.43
8.35,ly,0.43
8.77,o,0.43
9.20,hl,0.43
9.63,ko,0.43
10.06,lu,0.43
10.49,;p,0.43
10.91,jm,0.43
11.34,,p,0.43
11.77,i,0.43
12.20,;h,0.43
12.63,k,0.43
13.05,;,0.43
13.48,,,0.86
14.34,k,0.21
14.55,l,0.21
14.77,;,0.21
14.98,m,0.21
15.19,,y,0.21
15.41,o,0.21
15.62,h,0.21
15.84,o,0.21
16.05,h,0.21
16.26,o,0.21
16.48,h,0.21
16.69,o,0.21
16.91,mu,0.21
17.12,p,0.21
17.33,j,0.21
17.55,p,0.21
17.76,j,0.21
17.98,p,0.21
18.19,j,0.21
18.40,p,0.21
18.62,i,0.21
18.83,h,0.21
19.05,;k,0.21
19.26,h,0.21
19.47,kl,0.21
19.69,h,0.21
19.90,;k,0.21
20.12,h,0.21
20.33,lu,0.21
20.54,o,0.21
20.76,h,0.21
20.97,ko,0.21
21.19,h,0.21
21.40,o,0.21
21.61,h,0.21
21.83,o,0.21
22.04,hy,0.21
22.26,o,0.21
22.47,h,0.21
22.68,o,0.21
22.90,h,0.21
23.11,o,0.21
23.33,hk,0.21
23.54,o,0.21
23.75,lu,0.21
23.97,p,0.21
24.18,j,0.21
24.40,;p,0.21
24.61,j,0.21
24.82,p,0.21
25.04,jl,0.21
25.25,p,0.21
25.47,i,0.21
25.68,h,0.21
25.89,k,0.21
26.11,h,0.21
26.32,k,0.21
26.54,h,0.21
26.75,k,0.21
26.96,h,0.21
27.18,,;hik,0.86
28.03,,;hik,0.86
28.89,hy,0.21
29.10,o,0.21
29.32,h,0.21
29.53,k,0.64
30.17,;,0.43
30.60,lu,0.21
30.82,p,0.21
31.03,j,0.21
31.24,l,0.21
31.46,j,0.43
31.89,k,0.43
32.31,ij,0.21
32.53,p,0.21
32.74,h,0.21
32.96,hk,1.07
34.03,i,0.21
34.24,h,0.21
34.45,k,0.21
34.67,,,0.64
35.31,h,0.21
35.52,;,0.21
35.74,lu,0.21
35.95,p,0.21
36.17,j,0.21
36.38,l,0.64
37.02,m,0.43
37.45,mp,0.21
37.66,k,0.21
37.88,;,0.21
38.09,m,0.21
38.31,m,0.43
38.73,,,0.43
39.16,;i,0.21
39.38,h,0.21
39.59,k,0.21
39.80,;,0.43
40.23,,,0.21
40.45,;,0.21
40.66,k,0.21
40.87,i,0.21
41.09,p,0.21
41.30,hl,0.43
41.73,;,0.43
42.16,m,0.43
42.59,,y,0.43
43.01,ho,0.43
43.44,ho,0.43
43.87,;ho,0.43
44.30,lu,0.43
44.73,jp,0.43
45.15,jp,0.43
45.58,jkp,0.43
46.01,;i,0.43
46.44,hk,0.43
46.87,hk,0.43
47.29,hk,0.43
47.72,y,0.43
48.15,iy,0.43
48.58,hiy,0.43
49.01,;iy,0.43
49.43,lu,0.43
49.86,jp,0.43
50.29,jmp,0.43
50.72,jmp,0.43
51.15,y,0.43
51.57,iy,0.43
52.00,ijy,0.43
52.43,iky,0.43
52.86,hi,0.43
53.29,,h,0.43
53.71,,h,0.43
54.14,,h,0.43
54.57,,;hik,0.43
55.00,hi,0.43
55.43,hi,0.43
55.85,hk,0.43
56.28,jly,0.21
56.50,o,0.21
56.71,hk,0.21
56.92,hk,0.21
57.14,jl,0.64
57.78,hk,0.21
57.99,jlu,0.21
58.21,p,0.21
58.42,hk,0.21
58.64,hk,0.21
58.85,km,0.43
59.28,,k,0.43
