# 雅俗共赏.
# Converted from SkyStudio format
# BPM: 276
# Total chords: 176

Time,Keys,Duration
0.00,y,0.43
0.43,p,0.43
0.87,py,0.65
1.52,hp,0.22
1.74,p,0.43
2.17,opy,0.43
2.60,p,0.43
3.04,oy,0.43
3.47,iy,0.43
3.91,u,0.43
4.34,iy,0.43
4.77,u,0.22
4.99,i,0.22
5.21,y,0.87
6.08,y,0.87
6.94,o,0.43
7.38,u,0.43
7.81,u,0.65
8.46,u,0.22
8.68,i,0.43
9.11,u,0.43
9.55,u,0.43
9.98,y,0.43
10.42,u,0.43
10.85,y,0.43
11.28,y,0.43
11.72,p,0.43
12.15,iy,0.87
13.02,y,0.87
13.89,y,0.43
14.32,p,0.43
14.76,py,0.65
15.41,hp,0.22
15.62,p,0.43
16.06,opy,0.43
16.49,p,0.43
16.93,oy,0.43
17.36,iy,0.43
17.79,u,0.43
18.23,iy,0.43
18.66,l,0.43
19.10,hk,0.43
19.53,i,0.43
19.96,h,0.87
20.83,u,0.43
21.27,hk,0.43
21.70,ku,0.43
22.13,i,0.43
22.57,ou,0.43
23.00,i,0.43
23.44,u,0.22
23.65,y,0.22
23.87,y,0.43
24.30,y,0.43
24.74,p,0.43
25.17,y,0.87
26.04,o,0.43
26.47,y,0.43
26.91,i,0.43
27.34,p,0.22
27.56,l,0.22
27.78,h,0.43
28.21,ik,0.43
28.64,i,0.43
29.08,p,0.22
29.30,j,0.22
29.51,i,0.43
29.95,h,0.43
30.38,hi,0.22
30.60,p,0.43
31.03,p,0.22
31.25,ho,0.43
31.68,py,0.43
32.12,p,0.43
32.55,o,0.43
32.98,iy,0.65
33.63,iy,0.65
34.29,p,0.22
34.50,l,0.22
34.72,h,0.43
35.15,ik,0.43
35.59,i,0.43
36.02,p,0.22
36.24,j,0.22
36.46,i,0.43
36.89,h,0.43
37.32,hi,0.22
37.54,p,0.43
37.98,p,0.22
38.19,ho,0.43
38.63,py,0.43
39.06,o,0.22
39.28,i,0.22
39.49,y,0.87
40.36,y,0.43
40.80,u,0.43
41.23,i,2.60
43.83,i,0.43
44.27,i,0.43
44.70,p,0.43
45.14,h,0.22
45.35,p,0.22
45.57,hi,0.22
45.79,p,0.22
46.00,;hiy,0.43
46.44,;,0.43
46.87,i,0.22
47.09,p,0.22
47.31,h,0.43
47.74,ip,0.87
48.61,ho,0.22
48.83,p,0.22
49.04,hy,0.22
49.26,p,0.22
49.48,;hoy,0.43
49.91,;,0.43
50.34,hy,0.22
50.56,p,0.22
50.78,h,0.43
51.21,iy,0.87
52.08,h,0.22
52.30,p,0.22
52.51,hi,0.22
52.73,p,0.22
52.95,;hiy,0.43
53.38,;,0.43
53.82,hi,0.22
54.03,p,0.22
54.25,h,0.22
54.47,h,0.43
54.90,u,0.22
55.12,u,0.22
55.34,y,0.22
55.55,lo,0.43
55.99,k,0.22
56.20,h,0.22
56.42,k,0.22
56.64,l,0.22
56.85,;,0.43
57.29,o,0.43
57.72,,,0.43
58.16,,,0.43
58.59,,,0.43
59.02,;i,0.43
59.46,j,0.43
59.89,i,2.60
62.50,y,0.43
62.93,p,0.43
63.36,py,0.65
64.02,hp,0.22
64.23,p,0.43
64.67,opy,0.43
65.10,p,0.43
65.53,oy,0.43
65.97,iy,0.43
66.40,u,0.43
66.84,iy,0.43
67.27,u,0.22
67.49,i,0.22
67.70,y,0.87
68.57,y,0.87
69.44,o,0.43
69.87,u,0.43
70.31,u,0.65
70.96,i,0.22
71.18,o,0.43
71.61,i,0.43
72.04,i,0.43
72.48,y,0.43
72.91,u,0.43
73.35,y,0.43
73.78,y,0.43
74.21,p,0.43
74.65,iy,0.87
75.52,y,0.87
76.38,y,0.50
