# 雨之歌
# Converted from SkyStudio format
# BPM: 240
# Total chords: 227

Time,Keys,Duration
0.00,m,0.25
0.25,n,0.25
0.50,;k,0.50
1.00,kp,0.50
1.50,;,0.50
2.00,hn,0.50
2.50,;,0.25
2.75,jl,0.50
3.25,hk,0.25
3.50,l,0.25
3.75,;p,0.50
4.25,;m,0.50
4.75,jl,0.25
5.00,p,0.25
5.25,o,0.25
5.50,ku,0.25
5.75,l,0.25
6.00,;p,0.50
6.50,;m,0.50
7.00,.,0.50
7.50,,/n,0.50
8.00,.,0.25
8.25,,,0.50
8.75,k,0.50
9.25,;p,0.50
9.75,lo,0.50
10.25,ik,0.50
10.75,p,0.25
11.00,p,0.50
11.50,;p,0.25
11.75,;p,0.25
12.00,lo,0.25
12.25,;p,0.50
12.75,;h,0.25
13.00,l,0.25
13.25,k,0.25
13.50,lp,0.25
13.75,;,0.25
14.00,k,0.50
14.50,k,0.25
14.75,;,0.25
15.00,m,0.25
15.25,,k,0.25
15.50,,k,0.25
15.75,,k,0.25
16.00,jm,0.25
16.25,,k,0.25
16.50,,k,0.25
16.75,k,0.25
17.00,;,0.25
17.25,jl,0.50
17.75,p,0.50
18.25,u,0.50
18.75,k,0.25
19.00,l,0.50
19.50,;p,0.25
19.75,;p,0.25
20.00,lo,0.25
20.25,;p,0.50
20.75,;p,0.25
21.00,l,0.25
21.25,k,0.25
21.50,lp,0.25
21.75,;,0.25
22.00,k,0.75
22.75,k,0.25
23.00,k,0.50
23.50,l,0.25
23.75,l,0.25
24.00,;,0.25
24.25,m,0.25
24.50,l,0.25
24.75,j,0.25
25.00,l,0.25
25.25,ikp,1.00
26.25,k,0.25
26.50,j,0.25
26.75,hi,0.50
27.25,;hn,0.25
27.50,;h,0.50
28.00,;hk,0.25
28.25,;h,0.25
28.50,;hk,0.25
28.75,km,0.25
29.00,l,0.25
29.25,;,0.50
29.75,km,0.25
30.00,l,0.25
30.25,;,0.25
30.50,k,0.25
30.75,k,0.50
31.25,ikp,0.25
31.50,ik,0.25
31.75,ikp,0.25
32.00,ik,0.50
32.50,ik,0.25
32.75,ikp,0.25
33.00,ik,0.25
33.25,hp,0.25
33.50,hik,0.25
33.75,;,0.25
34.00,j,0.50
34.50,;k,0.50
35.00,;,0.25
35.25,m,0.25
35.50,,k,0.25
35.75,,hk,0.25
36.00,,k,0.25
36.25,m,0.25
36.50,;,0.50
37.00,k,0.25
37.25,k,0.25
37.50,jl,0.25
37.75,jl,0.25
38.00,jl,0.25
38.25,;,0.25
38.50,hk,0.50
39.00,k,0.25
39.25,k,0.50
39.75,k,0.25
40.00,lo,0.25
40.25,lo,0.25
40.50,k,0.25
40.75,lo,0.50
41.25,lo,0.25
41.50,lo,0.25
41.75,;p,0.25
42.00,m,0.25
42.25,m,0.25
42.50,l,0.25
42.75,p,0.25
43.00,/m,0.50
43.50,,kn,0.50
44.00,m,0.25
44.25,,k,0.25
44.50,,k,0.25
44.75,m,0.25
45.00,k,0.25
45.25,;,0.25
45.50,m,0.50
46.00,m,0.25
46.25,k,0.25
46.50,jl,0.25
46.75,jl,0.25
47.00,jl,0.25
47.25,hk,0.25
47.50,jl,0.50
48.00,jl,0.25
48.25,jl,0.25
48.50,hk,0.25
48.75,;hk,0.25
49.00,m,0.25
49.25,j,0.50
49.75,km,0.50
50.25,/;,0.25
50.50,.,0.25
50.75,,kn,0.50
51.25,m,0.25
51.50,,k,0.25
51.75,,k,0.25
52.00,m,0.25
52.25,;,0.25
52.50,k,0.25
52.75,.;,0.25
53.00,/,0.25
53.25,,l,0.25
53.50,.,0.25
53.75,,k,0.50
54.25,k,0.25
54.50,l,0.25
54.75,l,0.25
55.00,l,0.25
55.25,;,0.25
55.50,n,0.25
55.75,n,0.25
56.00,k,0.25
56.25,;,0.25
56.50,lp,0.25
56.75,u,0.25
57.00,y,0.25
57.25,p,0.25
57.50,p,0.50
58.00,;p,0.25
58.25,;p,0.25
58.50,lo,0.25
58.75,;p,0.50
59.25,;p,0.25
59.50,l,0.25
59.75,k,0.25
60.00,lp,0.25
60.25,;,0.25
60.50,k,0.50
61.00,k,0.25
61.25,;,0.25
61.50,m,0.25
61.75,,k,0.25
62.00,,k,0.25
62.25,,k,0.25
62.50,jm,0.25
62.75,,k,0.25
63.00,,k,0.25
63.25,k,0.25
63.50,;,0.25
63.75,jl,0.25
64.00,p,0.25
64.25,u,0.25
64.50,k,0.25
64.75,l,0.50
65.25,;p,0.25
65.50,;p,0.25
65.75,lo,0.25
66.00,;p,0.50
66.50,;p,0.25
66.75,l,0.25
67.00,k,0.25
67.25,lp,0.25
67.50,;,0.25
67.75,k,0.50
68.25,k,0.25
68.50,l,0.25
68.75,l,0.25
69.00,;,0.25
69.25,m,0.25
69.50,l,0.25
69.75,j,0.25
70.00,l,0.25
70.25,ikp,0.50
