# 雾里  原著忆·思 边晴画改编
# Converted from SkyStudio format
# BPM: 240
# Total chords: 234

Time,Keys,Duration
0.00,A#2D3,0.50
0.50,E3,0.50
1.00,D3,0.50
1.50,C3F3,0.50
2.00,F#3,0.50
2.50,D3,0.50
3.00,A#2D3,0.50
3.50,E3,0.50
4.00,D3,0.50
4.50,C3F3,0.50
5.00,F#3,0.50
5.50,D3,0.50
6.00,A2C3D3,0.25
6.25,G#3,0.25
6.50,F#3,0.25
6.75,F#3,0.25
7.00,A2C3F#3,0.25
7.25,F3,0.25
7.50,F3,0.25
7.75,E3,0.25
8.00,A#2C#3F3,0.25
8.25,F#3,0.25
8.50,F#3,0.25
8.75,A#2C#3F#3,0.50
9.25,F3,0.25
9.50,E3,0.50
10.00,B2D3F3,0.50
10.50,F#3,0.50
11.00,B2D3F3,0.50
11.50,D3,0.50
12.00,A2B2,0.50
12.50,E3,0.50
13.00,A2B2D#3,0.50
13.50,D3,0.50
14.00,A2C3D3,0.25
14.25,G#3,0.25
14.50,F#3,0.25
14.75,F#3,0.25
15.00,A2C3F3,0.25
15.25,F3,0.25
15.50,F3,0.25
15.75,E3,0.25
16.00,A#2C#3F3,0.25
16.25,F#3,0.25
16.50,F#3,0.25
16.75,A#2C#3F#3,0.50
17.25,F3,0.25
17.50,E3,0.25
17.75,B2D3F3,0.50
18.25,F#3,0.25
18.50,B2D3G#3,0.50
19.00,F#3,0.50
19.50,A2F#3,0.50
20.00,F#3,0.25
20.25,A2B2F3,0.50
20.75,E3,0.25
21.00,A2C3D3,0.25
21.25,G#3,0.25
21.50,F#3,0.25
21.75,A2C3,0.50
22.25,D3,0.25
22.50,G#3,0.25
22.75,A#2C#3F#3,0.50
23.25,F#3,0.25
23.50,A#2C#3F3,0.50
24.00,E3,0.50
24.50,A3B2D3,0.25
24.75,G#3,0.25
25.00,F#3,0.25
25.25,B2D3,0.50
25.75,D3,0.25
26.00,E3,0.25
26.25,D#3,0.25
26.50,C#3,0.25
26.75,D3,0.25
27.00,A2C3D3,0.25
27.25,G#3,0.25
27.50,F#3,0.25
27.75,A2C3,0.50
28.25,D3,0.25
28.50,G#3,0.25
28.75,A#2C#3F#3,0.50
29.25,F#3,0.25
29.50,A#2C#3F3,0.50
