# 霜雪千年
# Converted from SkyStudio format
# BPM: 540
# Total chords: 516

Time,Keys,Duration
0.00,hiy,0.22
0.22,;,0.22
0.44,hiy,0.22
0.67,p,0.22
0.89,hiy,0.22
1.11,p,0.11
1.22,hp,0.11
1.33,i,0.22
1.55,p,0.22
1.78,hpu,0.22
2.00,p,0.22
2.22,iu,0.22
2.44,p,0.22
2.66,;jpu,0.67
3.33,k,0.22
3.55,loy,0.22
3.77,;,0.22
4.00,loy,0.22
4.22,k,0.22
4.44,hoy,0.22
4.66,p,0.11
4.77,ho,0.11
4.88,k,0.22
5.11,l,0.22
5.33,;ip,0.44
5.77,imp,0.44
6.22,ijlp,0.78
6.99,hiy,0.22
7.21,l,0.22
7.44,hiy,0.22
7.66,p,0.22
7.88,hiy,0.22
8.10,p,0.11
8.21,hp,0.11
8.32,i,0.22
8.55,p,0.22
8.77,hpu,0.22
8.99,;,0.22
9.21,mu,0.22
9.44,;,0.22
9.66,jlpu,0.22
9.88,l,0.11
9.99,;l,0.11
10.10,l,0.22
10.32,p,0.22
10.54,hi,0.22
10.77,p,1.00
11.77,j,0.22
11.99,h,0.11
12.10,hj,0.11
12.21,pu,1.00
13.21,k,0.44
13.65,l,0.44
14.10,kpy,0.44
14.54,p,0.44
14.98,ly,0.44
15.43,;,0.44
15.87,mpu,0.44
16.32,;u,0.44
16.76,lp,0.44
17.20,;,0.44
17.65,hil,0.44
18.09,i,0.44
18.54,k,0.44
18.98,h,0.44
19.43,;,0.44
19.87,mpu,0.44
20.31,;j,0.44
20.76,il,0.44
21.20,;,0.44
21.64,loy,0.44
22.09,y,0.22
22.31,k,0.22
22.53,o,0.44
22.98,h,0.44
23.42,py,0.33
23.75,h,0.11
23.86,kp,0.22
24.09,h,0.22
24.31,kpy,0.44
24.75,;,0.44
25.20,loy,0.56
25.75,;y,0.22
25.97,lo,0.44
26.42,k,0.44
26.86,lpu,0.44
27.31,ip,0.44
27.75,kp,0.44
28.19,l,0.44
28.64,kpy,0.44
29.08,p,0.44
29.53,ly,0.44
29.97,;p,0.44
30.41,mpu,0.44
30.86,;u,0.44
31.30,lp,0.44
31.75,;u,0.44
32.19,hil,0.44
32.63,i,0.22
32.86,k,0.22
33.08,h,0.44
33.52,;i,0.44
33.97,mpu,0.44
34.41,;j,0.44
34.85,il,0.44
35.30,;j,0.44
35.74,hil,0.44
36.19,y,0.22
36.41,k,0.22
36.63,o,0.44
37.07,hy,0.44
37.52,py,0.22
37.74,h,0.22
37.96,kp,0.22
38.18,h,0.22
38.41,kpy,0.44
38.85,;p,0.44
39.29,lou,0.56
39.85,;u,0.22
40.07,lp,0.44
40.52,k,0.44
40.96,kpy,1.33
42.29,h,0.22
42.51,loy,0.22
42.73,;,0.22
42.96,l,0.22
43.18,k,0.22
43.40,h,0.67
