# 青春：请回答1988ost
# Converted from SkyStudio format
# BPM: 200
# Total chords: 156

Time,Keys,Duration
1.20,y,0.30
1.50,y,0.30
1.80,i,0.30
2.10,j,0.30
2.40,i,0.30
2.70,y,0.60
3.30,y,0.30
3.60,i,0.30
3.90,j,0.30
4.20,i,0.30
4.50,y,0.30
4.80,y,0.30
5.10,y,0.30
5.40,i,0.30
5.70,j,0.30
6.00,i,0.30
6.30,y,0.30
6.60,h,0.90
7.50,i,0.30
7.80,i,0.30
8.10,i,0.30
8.40,hiy,0.90
9.30,iy,0.60
9.90,k,0.30
10.20,;iy,0.90
11.10,ily,0.30
11.40,l,0.30
11.70,k,0.30
12.00,;hi,0.90
12.90,hi,0.60
13.50,h,0.30
13.80,hi,0.90
14.70,hil,0.30
15.00,l,0.30
15.30,k,0.30
15.60,lou,0.90
16.50,ou,0.60
17.10,;,0.30
17.40,kou,0.90
18.30,kou,0.30
18.60,j,0.30
18.90,h,0.30
19.20,iy,0.90
20.10,iy,0.90
21.00,iy,0.90
21.90,i,0.30
22.20,i,0.30
22.50,i,0.30
22.80,hiy,0.90
23.70,iy,0.60
24.30,k,0.30
24.60,;iy,0.90
25.50,ily,0.30
25.80,l,0.30
26.10,k,0.30
26.40,;hi,0.90
27.30,hi,0.60
27.90,h,0.30
28.20,hi,0.90
29.10,hil,0.30
29.40,l,0.30
29.70,k,0.30
30.00,lou,0.90
30.90,ou,0.60
31.50,;,0.30
31.80,kou,0.90
32.70,jou,0.30
33.00,h,0.30
33.30,p,0.30
33.60,hiy,0.90
34.50,iy,0.90
35.40,iy,0.90
36.30,i,0.30
36.60,i,0.30
36.90,i,0.30
37.20,hy,0.30
37.50,i,0.30
37.80,j,0.30
38.10,j,0.30
38.40,i,0.30
38.70,ky,0.30
39.00,;y,0.30
39.30,i,0.30
39.60,h,0.30
39.90,hl,0.30
40.20,il,0.30
40.50,ky,0.30
40.80,;y,0.30
41.10,i,0.30
41.40,j,0.30
41.70,j,0.30
42.00,i,0.30
42.30,hy,0.30
42.60,hy,0.30
42.90,i,0.30
43.20,h,0.30
43.50,hl,0.30
43.80,il,0.30
44.10,ky,0.30
44.40,lu,0.30
44.70,o,0.30
45.00,h,0.30
45.30,l,0.30
45.60,h,0.30
45.90,;o,0.30
46.20,ku,0.30
46.50,o,0.30
46.80,h,0.30
47.10,k,0.30
47.40,jo,0.30
47.70,hu,0.30
48.00,iy,0.90
48.90,iy,0.90
49.80,iy,0.90
50.70,i,0.30
51.00,i,0.30
51.30,i,0.30
51.60,hy,0.30
51.90,i,0.30
52.20,j,0.30
52.50,j,0.30
52.80,i,0.30
53.10,ky,0.30
53.40,;y,0.30
53.70,i,0.30
54.00,h,0.30
54.30,hl,0.30
54.60,il,0.30
54.90,ky,0.30
55.20,;y,0.30
55.50,i,0.30
55.80,j,0.30
56.10,j,0.30
56.40,i,0.30
56.70,hy,0.30
57.00,hy,0.30
57.30,i,0.30
57.60,h,0.30
57.90,hl,0.30
58.20,il,0.30
58.50,ky,0.30
58.80,lu,0.30
59.10,o,0.30
59.40,h,0.30
59.70,l,0.30
60.00,h,0.30
60.30,;o,0.30
60.60,ku,0.30
60.90,o,0.30
61.20,h,0.30
61.50,j,0.30
61.80,ho,0.30
62.10,pu,0.30
62.40,hiy,0.90
63.30,iy,0.90
64.20,iy,0.50
