# 青石巷 Bluestone Alley
# Converted from SkyStudio format
# BPM: 216
# Total chords: 260

Time,Keys,Duration
3.32,p,0.28
3.60,h,0.28
3.88,k,0.28
4.16,h,0.28
4.43,;y,0.83
5.26,m,0.55
5.82,;,0.28
6.09,l,0.28
6.37,;,0.28
6.65,hl,0.83
7.48,p,0.55
8.03,h,0.28
8.31,k,0.28
8.59,h,0.28
8.86,lo,0.83
9.70,k,0.28
9.97,l,0.28
10.25,k,0.28
10.53,h,0.28
10.80,;,0.28
11.08,lp,0.83
11.91,p,0.55
12.46,h,0.28
12.74,k,0.28
13.02,h,0.28
13.30,;y,0.83
14.13,p,0.55
14.68,h,0.28
14.96,k,0.28
15.23,h,0.28
15.51,hl,0.83
16.34,p,0.55
16.90,h,0.28
17.17,k,0.28
17.45,h,0.28
17.73,lo,0.55
18.28,k,0.28
18.56,;,0.55
19.11,l,0.55
19.67,k,0.28
19.94,lp,0.55
20.50,k,0.28
20.77,;,0.55
21.33,l,0.55
21.88,k,0.28
22.16,ky,0.83
22.99,o,0.83
23.82,p,0.55
24.38,iuy,0.83
25.21,p,0.28
25.48,m,0.28
25.76,;,0.28
26.04,l,0.28
26.32,k,0.28
26.59,ly,0.55
27.15,l,0.28
27.42,k,0.28
27.70,l,0.55
28.25,l,0.28
28.53,k,0.28
28.81,jl,0.83
29.64,p,0.28
29.92,m,0.28
30.19,;,0.28
30.47,l,0.28
30.75,k,0.28
31.02,hl,0.55
31.58,l,0.28
31.86,k,0.28
32.13,l,0.28
32.41,k,0.28
32.69,l,0.28
32.96,;,0.28
33.24,/p,0.28
33.52,k,0.55
34.07,p,0.28
34.35,m,0.28
34.62,;,0.28
34.90,l,0.28
35.18,k,0.28
35.46,lo,0.55
36.01,l,0.28
36.29,k,0.28
36.56,l,0.55
37.12,k,0.28
37.40,h,0.28
37.67,;i,0.83
38.50,p,0.28
38.78,l,0.28
39.06,;,0.28
39.33,l,0.28
39.61,k,0.28
39.89,ku,0.83
40.72,k,0.28
41.00,l,0.28
41.27,k,0.28
41.55,;,0.28
41.83,;,0.28
42.10,kp,0.28
42.38,l,0.55
42.94,p,0.28
43.21,mo,0.28
43.49,;,0.28
43.77,l,0.28
44.04,k,0.28
44.32,il,0.55
44.87,l,0.28
45.15,k,0.28
45.43,l,0.55
45.98,l,0.28
46.26,k,0.28
46.54,hl,0.28
46.81,l,0.28
47.09,;,0.55
47.64,m,0.28
47.92,;,0.28
48.20,l,0.28
48.48,k,0.28
48.75,ku,0.28
49.03,k,0.55
49.58,p,0.28
49.86,m,0.28
50.14,;,0.28
50.41,l,0.28
50.69,k,0.28
50.97,ho,0.28
51.24,h,0.28
51.52,l,0.28
51.80,k,0.28
52.08,m,0.28
52.35,,,0.28
52.63,;,0.28
52.91,k,0.28
53.18,ik,0.28
53.46,l,0.55
54.02,p,0.28
54.29,;,0.28
54.57,l,0.28
54.85,l,0.28
55.12,;,0.28
55.40,;u,0.28
55.68,k,0.83
56.51,h,1.11
57.62,ij,0.28
57.89,l,0.83
58.72,;,0.28
59.00,l,0.28
59.28,l,0.28
59.55,;,0.28
59.83,ko,1.11
60.94,k,0.28
61.22,h,0.28
61.49,k,0.28
61.77,h,0.28
62.05,il,0.83
62.88,;,0.28
63.16,ip,0.28
63.43,h,0.28
63.71,k,0.28
63.99,h,0.28
64.26,;o,0.83
65.09,m,0.55
65.65,;,0.28
65.93,k,0.28
66.20,;,0.28
66.48,o,0.28
66.76,l,0.55
67.31,p,0.28
67.59,p,0.28
67.86,h,0.28
68.14,k,0.28
68.42,h,0.28
68.70,il,0.83
69.53,k,0.28
69.80,l,0.28
70.08,k,0.28
70.36,h,0.28
70.64,;,0.28
70.91,h,0.28
71.19,l,0.55
71.74,p,0.28
72.02,p,0.28
72.30,h,0.28
72.57,k,0.28
72.85,h,0.28
73.13,;u,1.11
74.24,p,0.28
74.51,h,0.28
74.79,k,0.28
75.07,h,0.28
75.34,ip,0.28
75.62,l,0.55
76.17,p,0.28
76.45,p,0.28
76.73,h,0.28
77.01,k,0.28
77.28,h,0.28
77.56,lo,0.83
78.39,;,0.28
78.67,p,0.55
79.22,l,0.28
79.50,k,0.28
79.78,p,0.28
80.05,l,0.55
80.61,p,0.55
81.16,h,0.28
81.44,k,0.28
81.72,h,0.28
81.99,;o,0.83
82.82,m,0.55
83.38,;,0.28
83.65,l,0.28
83.93,;,0.28
84.21,o,0.28
84.48,l,0.55
85.04,p,0.28
85.32,p,0.28
85.59,h,0.28
85.87,k,0.28
86.15,h,0.28
86.42,il,0.83
87.25,k,0.28
87.53,l,0.28
87.81,k,0.28
88.09,h,0.28
88.36,;,0.28
88.64,h,0.28
88.92,l,0.55
89.47,p,0.28
89.75,p,0.28
90.03,h,0.28
90.30,k,0.28
90.58,h,0.28
90.86,;u,0.83
91.69,p,0.28
91.96,p,0.28
92.24,h,0.28
92.52,k,0.28
92.80,h,0.28
93.07,ip,0.28
93.35,l,0.55
93.90,p,0.28
94.18,p,0.28
94.46,h,0.28
94.73,k,0.28
95.01,h,0.28
95.29,lo,0.55
95.84,k,0.28
96.12,;,0.55
96.67,l,0.55
97.23,k,0.28
97.50,lp,0.55
98.06,k,0.28
98.33,;,0.55
98.89,l,0.55
99.44,k,0.28
99.72,ky,0.83
100.55,o,0.83
101.38,y,0.55
101.94,iuy,0.50
